,CCS,AdjacencyMatrix_SpAbs_A,AdjacencyMatrix_SpAD_A,ATSC_ATSC7i,MATS_MATS5dv,MATS_MATS6s,GATS_GATS2c,GATS_GATS8dv,GATS_GATS8d,BCUT_BCUTdv-1l,BalabanJ_BalabanJ,BaryszMatrix_VE2_Dzv,Chi_Xp-0dv,Chi_Xp-1dv,DistanceMatrix_VE2_D,GhoseFilter_GhoseFilter,PEOE_VSA_PEOE_VSA7,MolecularId_MID_C,MolecularId_AMID_N
LMST02030088_9-10,183.3,32.36666102,32.36666102,-5.151596687,-0.021067856,-0.02195289,0.865176026,0.796148364,0.745597736,0.993385024,1.505216825,0.196611706,16.55376802,10.94012232,0.196783028,1,68.61737555,45.98922938,0.08572976
LMST03010001_9-10,219.8,39.3117226,39.3117226,3.328159167,0.000987793,-0.024733546,0.954574984,1.003869396,0.957786075,0.988063124,1.437663,0.176482695,21.16202759,13.36109449,0.176372661,0,85.68149065,58.53644737,0.06920657
LMST03020001_9-10,218.7,37.88921576,37.88921576,-3.838032457,-0.006434907,0.002325514,0.953341132,1.016097019,0.97793721,0.98830074,1.436285178,0.179045538,20.55129712,13.26690747,0.179078916,0,79.76358461,56.71116674,0.071513523
LMST01010014_14-15,221.549,39.44794953,39.44794953,-17.08021908,-0.047141988,-0.009429915,0.964494188,0.881579959,0.96887845,0.988210622,1.370663581,0.175910173,21.23899769,13.94760944,0.176051208,0,79.44735648,57.61021388,0.069086642
LMST01010087_13-14,226.749,40.99059028,40.99059028,-7.87086422,-0.034344411,0.014913718,0.974178722,0.929183862,0.903767465,0.987897749,1.47575459,0.170375287,23.6894898,14.94199251,0.170400541,0,73.02653486,62.85466082,0.065697359
LMST01010088_15-16,223.73,40.0362574,40.0362574,-16.51769089,-0.002743039,-0.013120869,0.868703078,0.888117663,0.945116171,0.993025293,1.32172803,0.175814126,21.07586099,13.97632955,0.176048032,0,85.86817811,57.83308725,0.069143845
LMST01010095_14-15,218.115,38.32538106,38.32538106,-18.57046658,-0.020544131,-0.026709119,0.943180467,0.850964569,0.914381206,0.98821255,1.351949733,0.178976068,20.66202759,13.49587043,0.178941395,0,85.86817811,57.5388409,0.071448486
LMST01010095_4-5,220.441,38.42228919,38.42228919,-28.54911393,-0.019267815,-0.00769933,0.923648562,0.842631147,0.907217931,0.988211223,1.322355268,0.179178234,20.66202759,13.54052862,0.179279673,0,91.78608415,57.5803537,0.069548456
LMST01010096_12-13,218.349,38.3163546,38.3163546,-6.051186281,-0.034861813,0.011156665,0.961728991,0.943872586,0.879344526,0.988210667,1.39645333,0.178657203,20.97394685,13.81318399,0.178717821,0,74.03236601,57.4746308,0.07246272
LMST01010097_11-12,218.883,38.29536933,38.29536933,-28.18696715,-0.036045951,0.008563055,0.964894361,0.861373224,0.875320451,0.988210668,1.403690776,0.17862942,20.97394685,13.81318399,0.178675106,0,74.03236601,57.50020424,0.072434605
LMST01010099_4-5,220.436,38.42228919,38.42228919,-27.20692054,-0.022282382,-0.002347392,0.908632222,0.860561887,0.910540062,0.988210806,1.322355268,0.179115678,20.86913437,13.84522352,0.179279673,0,104.1248118,57.5803537,0.069548456
LMST01010103_22-23,241.908,51.27848978,51.27848978,20.76760841,-0.039463035,0.030412512,0.843485089,0.851599432,1.006027192,0.991082478,1.522425867,0.149538661,27.06178216,15.73920898,0.149695102,0,76.36025644,67.4324565,0.049855605
LMST01010103_7-8,243.091,51.33628213,51.33628213,25.25574905,-0.070976429,0.028531045,0.900897363,0.882634891,1.031512821,0.991082476,1.50108308,0.149668671,27.06178216,15.78386718,0.149892007,0,76.5469439,67.47294002,0.048371233
LMST01010143_1-3,217.088,40.34722583,40.34722583,-24.51908369,0.017985367,0.012111803,0.889739456,0.979928563,1.147462475,0.99145249,1.329706322,0.173312635,22.55973329,14.28729197,0.173642621,0,111.5514646,61.19871397,0.064133059
LMST01010143_13-14,225.948,40.30681426,40.30681426,0.659695335,-0.025495469,0.011056074,0.989832268,0.9341348,0.867118768,0.991560656,1.459761747,0.173201749,22.55973329,14.24263378,0.172991052,0,94.30066204,61.08176495,0.067758618
LMST01010164_15-16,225.131,39.74790033,39.74790033,-16.52234292,0.012037115,-0.023531946,0.849167604,0.987698433,0.935253803,0.988232232,1.344244468,0.176106424,21.23899769,13.92073598,0.176302687,0,92.28899973,57.63195516,0.06914368
LMST01010173_14-15,262.125,52.52017232,52.52017232,-35.64299693,0.035226655,0.046738626,1.01225089,0.950314593,1.072064045,0.988208009,1.150223697,0.152937383,26.67353611,17.34621997,0.152994138,0,79.44735648,70.50169946,0.052483399
LMST01010178_17-18,231.551,46.34361568,46.34361568,1.365104501,-0.031768901,0.042903174,0.805062854,0.909959635,0.907778226,0.99333092,1.524319306,0.159023582,23.33896373,14.40532617,0.159181314,0,70.12612228,58.0896124,0.056465953
LMST01010207_12-13,223.888,40.12067493,40.12067493,-21.36924877,-0.060787965,0.011558272,0.941951296,0.941580112,0.933463042,0.987937343,1.418696244,0.173127527,22.71443383,14.59411108,0.173166438,0,78.44152533,61.13593901,0.067415792
LMST01010226_12-13,225.854,40.80717892,40.80717892,-9.447977741,-0.013736193,-0.014887242,0.937088666,1.010399596,0.899554707,0.991688307,1.413358575,0.173282457,21.62268212,13.86636427,0.173007274,0,88.38275599,59.59476616,0.067967704
LMST01010226_1-3,231.9,40.85553014,40.85553014,-35.74962451,0.025734613,-0.010048341,0.870740222,0.946990764,1.160854232,0.991550217,1.286980186,0.17340256,21.62268212,13.91102247,0.173665866,0,106.1364741,59.71763614,0.064135437
LMST01010249_12-13,221.177,41.05729151,41.05729151,2.618662984,-0.104032634,0.051369323,0.966432752,0.88243377,0.840774171,0.988210966,1.329297208,0.173024663,21.49254545,14.07678728,0.173048224,0,61.69363835,57.68016059,0.067294068
LMST01010286_14-15,214.407,38.68897505,38.68897505,7.978643694,-0.054279575,-0.035422166,0.919461959,0.842951729,0.852050729,0.988242412,1.28312737,0.179113057,20.71443383,13.75767211,0.179280379,0,97.7039902,57.79729254,0.07144813
LMST01010403_11-12,223.286,49.28356432,49.28356432,-6.829828587,-0.002369293,-0.010261052,1.217130316,0.794341837,0.861981361,0.993055259,1.053661314,0.161480205,23.1888676,15.13493256,0.161749592,0,38.52492974,61.82136103,0.058199857
LMST01010411_19-20,264.912,60.7076546,60.7076546,15.23837164,0.000158435,0.036888896,0.915942317,0.936077805,1.124073843,0.991074659,1.358375932,0.138533948,31.04968732,18.49410157,0.138758554,0,70.62903785,76.21660445,0.042897332
LMST01010413_14-15,228.618,47.62903796,47.62903796,-9.842887958,-0.048872061,-0.045593408,0.764640506,0.839589168,0.847771507,0.991586887,1.542751078,0.157004707,24.84951773,14.85465168,0.156975035,0,42.93408905,63.52851518,0.055436468
LMST01010434_14-15,265.205,57.67858744,57.67858744,-22.92511638,-0.050062003,-0.041769201,0.929853886,0.916911208,1.02653032,0.988240738,1.266548331,0.144276212,27.88751112,17.10408887,0.144485671,0,57.44259309,70.66973015,0.047197227
LMST01010442_8-9,294.735,66.97898988,66.97898988,-37.98720357,0.050473931,-0.022465383,0.824697901,1.058155123,1.086115082,0.987520111,1.095918843,0.133488378,35.4208014,22.72797261,0.133409666,0,119.2943455,93.62840519,0.038806952
LMST01010469_15-16,223.642,44.18340819,44.18340819,-8.689155503,-0.048308317,-0.034944683,0.797535412,0.872236566,0.966930746,0.991787409,1.501470711,0.163323973,22.50537895,13.60128402,0.163586872,0,65.37216144,57.83325793,0.060267811
LMST01010495_9-10,246.177,49.85845623,49.85845623,-1.127677047,-0.010558617,-0.042302765,0.990099277,1.101460536,0.770252417,0.991688249,1.224053089,0.154839602,25.74971001,15.97119203,0.155157684,0,76.04402832,66.91236364,0.053757094
LMST01030094_13-14,221.82,39.74867414,39.74867414,6.438991379,-0.053395943,-0.030276541,0.937652168,0.912689834,0.826925746,0.98800036,1.37890927,0.176176733,21.53227108,13.92744442,0.176137635,0,85.36526253,59.34186214,0.069616351
LMST01030094_5-6,220.531,39.82218028,39.82218028,-20.32379928,-0.016847876,0.004949376,0.926022373,0.867139637,0.900681187,0.987998739,1.326836541,0.176388123,21.53227108,13.97210262,0.17655567,0,91.78608415,59.40598915,0.067289399
LMST01030096_15-16,225.699,39.74790033,39.74790033,-5.484853536,0.011254472,-0.025344431,0.93464064,0.906778139,0.940649187,0.987997558,1.344244468,0.176164961,21.7917841,14.23988736,0.176302687,0,85.36526253,59.36411815,0.06914368
LMST01030100_0-1,234.99,40.93491345,40.93491345,-27.06239533,0.022043828,0.030864206,0.923092006,0.994305162,1.11112534,0.988141439,1.288916631,0.173653415,22.2917841,14.42322633,0.173896476,0,97.7039902,61.32409327,0.06401207
