,CCS,ATSC_ATSC8d,MATS_MATS3c,MATS_MATS5dv,GATS_GATS2c,GATS_GATS8dv,GATS_GATS7i,BCUT_BCUTdv-1l,BaryszMatrix_SpDiam_Dzare,Chi_Xp-1dv,ZModifiedIC_ZMIC3,GhoseFilter_GhoseFilter,MolecularDistanceEdge_MDEC-23,MolecularId_MID_C,MolecularId_MID_N,MolecularId_AMID_N,Diameter_Diameter,Radius_Radius
LMST03020330_4-5,221.914,-12.00914501,0.048613906,0.017328461,0.972372147,1.031292415,1.021221542,0.991702871,295.0323579,13.77145339,24.90920285,0,21.32380626,58.72522628,2.145442164,0.065013399,16,8
LMST03020336_4-5,218.832,-13.48126115,0.069911492,-0.042686101,0.840089389,1.013885089,0.999458233,0.991642385,276.5096256,13.70183913,25.12136886,0,21.32380626,58.65518598,2.145428288,0.067044634,15,8
LMST03020339_4-5,219.928,-12.56394252,0.076944642,-0.003773862,0.843476697,1.045976046,1.057552879,0.991745166,296.6721742,13.82886211,26.01553571,0,21.67811596,58.86541955,2.145442164,0.065013399,16,8
LMST03020340_4-5,216.895,-14.32660764,0.042972302,0.006877192,0.815130681,0.980276531,1.009077747,0.991756332,291.5467436,13.84896492,24.72564267,0,23.35814199,58.93043088,2.146004934,0.065030453,16,8
LMST03020341_4-5,216.849,-14.32660764,0.042972302,0.006877192,0.815130681,0.980276531,1.009077747,0.991756332,291.5467436,13.84896492,24.72564267,0,23.35814199,58.93043088,2.146004934,0.065030453,16,8
LMST03030001_0-1,232.419,-24.25377229,0.141001931,0.068727167,0.938260805,1.0808755,1.069143818,0.988059336,262.4686961,13.75250603,27.45144539,0,24.5190068,58.66536061,2.07406115,0.066905198,15,8
LMST03030001_9-10,218.576,-10.13244932,0.09257472,0.020132009,0.949789157,1.014386894,0.990512712,0.988060061,260.45122,13.67759107,28.05064724,0,23.56139969,58.53644737,2.14540367,0.06920657,15,8
LMST03040002_0-1,239.332,-27.3622449,0.142380225,0.065677861,0.943169317,1.096115094,1.099630087,0.987225151,279.895784,14.29051083,24.9275963,0,26.14292407,60.67570157,2.074062354,0.064814449,15,8
LMST03040002_9-10,227.307,-12.47902494,0.094506461,0.019222522,0.954632583,1.032537176,1.018826667,0.987225151,277.7591292,14.21559587,25.8422174,0,25.14773101,60.54675267,2.145440672,0.067045021,15,8
LMST03050001_0-1,231.991,-28.13146936,0.146836509,0.041554831,0.948967203,1.063048673,1.115551532,0.987225176,270.456973,13.97401425,23.59174436,0,26.14292407,60.67570157,2.074062354,0.064814449,15,8
LMST03050001_9-10,223.817,-11.90481856,0.099410737,-0.005759996,0.960144936,1.020236606,1.029607025,0.987225176,268.3506814,13.89909929,23.4854626,0,25.14773101,60.54675267,2.145440672,0.067045021,15,8
LMST03060001_7-8,228.548,-19.95229386,0.084885828,0.031417252,0.945487253,0.994894427,1.020568779,0.988060048,263.9005666,13.67759107,27.67415032,0,24.04886501,58.55345066,2.131199651,0.068748376,15,8
LMST03060001_9-10,226.624,-10.13244932,0.09257472,0.020132009,0.949789157,1.014386894,0.990512712,0.988060061,260.45122,13.67759107,28.05064724,0,23.56139969,58.53644737,2.14540367,0.06920657,15,8
LMST04010142_21-22,196.199,5.384489796,0.047567992,-0.037563891,0.684624261,1.077275124,0.912950634,0.993043435,196.5379492,12.48288049,25.79251493,1,20.90682045,52.06573297,2.152656912,0.076880604,13,7
LMST04010144_9-10,193.39,0.075102041,0.05407976,-0.00105908,0.679756484,0.938941602,1.043880038,0.993043551,195.2384485,12.48288049,24.5859238,1,20.74013236,52.08483597,2.150430881,0.076801103,13,7
LMST04010214_15-16,210.853,-7.864969136,0.102155537,0.006357079,0.723163862,1.137730922,1.001946504,0.993043452,227.2258027,12.66594494,25.15795817,0,22.57426779,52.19636202,2.130896491,0.071029883,14,7
LMST04010218_24-25,208.346,0.5,0.051945488,-0.00607494,0.685332335,1.118197279,0.933497515,0.993043446,221.8920992,12.65590824,25.15795817,0,22.01249867,52.18276651,2.136779944,0.071225998,14,7
LMST04010220_12-13,207.813,1.845679012,0.044822362,-0.014445948,0.642793785,0.980768075,0.961131513,0.993041321,217.6922042,12.68196471,25.39016372,0,23.80890653,52.22601906,2.131909853,0.071063662,14,7
