params,Trial,mean_score
"{'regressor__C': 671.8, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.089872224694142
"{'regressor__C': 671.8, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.688528248858981
"{'regressor__C': 671.8, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.38968276873773
"{'regressor__C': 671.8, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.169227036164164
"{'regressor__C': 671.8, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.982047574626908
"{'regressor__C': 671.8, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.861219780905365
"{'regressor__C': 671.8, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.808146590073758
"{'regressor__C': 671.8, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.51153532062008
"{'regressor__C': 671.9, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.418293699194388
"{'regressor__C': 671.9, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.089713792865103
"{'regressor__C': 671.9, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.688422642936024
"{'regressor__C': 671.9, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.389552323614746
"{'regressor__C': 671.9, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.169141880826235
"{'regressor__C': 671.9, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.981968158136008
"{'regressor__C': 671.9, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.86109782413856
"{'regressor__C': 671.9, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.80810061217831
"{'regressor__C': 671.9, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.510937501593837
"{'regressor__C': 672.0, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.418128764869484
"{'regressor__C': 672.0, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.089605350803698
"{'regressor__C': 672.0, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.688345242409143
"{'regressor__C': 672.0, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.38950637773382
"{'regressor__C': 672.0, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.169023140563942
"{'regressor__C': 672.0, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.981888907936778
"{'regressor__C': 672.0, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.861043220206474
"{'regressor__C': 672.0, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.808023580083645
"{'regressor__C': 672.0, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.5103671276275
"{'regressor__C': 672.1, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.417946381436277
"{'regressor__C': 672.1, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.089492115739615
"{'regressor__C': 672.1, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.688204539108943
"{'regressor__C': 672.1, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.38941850030289
"{'regressor__C': 672.1, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.168922026554489
"{'regressor__C': 672.1, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.981754451338372
"{'regressor__C': 672.1, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.860959902500968
"{'regressor__C': 672.1, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.80798453693931
"{'regressor__C': 672.1, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.50977824504896
"{'regressor__C': 672.2, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.417813797683431
"{'regressor__C': 672.2, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.089366325503642
"{'regressor__C': 672.2, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.688078125760748
"{'regressor__C': 672.2, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.389252644501656
"{'regressor__C': 672.2, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.168804674832307
"{'regressor__C': 672.2, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.98164557318238
"{'regressor__C': 672.2, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.860814283001565
"{'regressor__C': 672.2, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.807831227884078
"{'regressor__C': 672.2, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.509207082150134
"{'regressor__C': 672.3, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.417657329626856
"{'regressor__C': 672.3, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.089287614439245
"{'regressor__C': 672.3, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.688031611289603
"{'regressor__C': 672.3, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.389200415226814
"{'regressor__C': 672.3, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.168744854028407
"{'regressor__C': 672.3, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.981548445814028
"{'regressor__C': 672.3, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.860740050622496
"{'regressor__C': 672.3, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.807797481626913
"{'regressor__C': 672.3, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.5085998124443
"{'regressor__C': 672.4, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.41754727170243
"{'regressor__C': 672.4, 'regressor__gamma': 0.00024, 'regressor__kernel': 'rbf'}",10.0,-14.08916965177331
"{'regressor__C': 672.4, 'regressor__gamma': 0.00032, 'regressor__kernel': 'rbf'}",10.0,-13.687887231307078
"{'regressor__C': 672.4, 'regressor__gamma': 0.0004, 'regressor__kernel': 'rbf'}",10.0,-13.389097406394404
"{'regressor__C': 672.4, 'regressor__gamma': 0.00048, 'regressor__kernel': 'rbf'}",10.0,-13.168660841625499
"{'regressor__C': 672.4, 'regressor__gamma': 0.00056, 'regressor__kernel': 'rbf'}",10.0,-12.981432587063122
"{'regressor__C': 672.4, 'regressor__gamma': 0.00064, 'regressor__kernel': 'rbf'}",10.0,-12.860725138030531
"{'regressor__C': 672.4, 'regressor__gamma': 0.00072, 'regressor__kernel': 'rbf'}",10.0,-12.807690210315062
"{'regressor__C': 672.4, 'regressor__gamma': 8e-05, 'regressor__kernel': 'rbf'}",10.0,-16.508028728439562
"{'regressor__C': 672.5, 'regressor__gamma': 0.00016, 'regressor__kernel': 'rbf'}",10.0,-14.41734547914727
