,mz,diagIonsInChian,diagIonsInRing,characteristicMass
LMST03020652_13-14_0_0_chain,494.3298,"278.2842,246.0794",,"278.2842,246.0794"
LMST03020653_0-1_0_0_chain,652.6027,"353.3203,383.3546,397.3703,638.587",,"353.3203,383.3546,397.3703,638.587"
LMST03020653_24-25_0_0_chain,652.6027,"123.1042,304.2999,378.3366,397.3703",,"123.1042,304.2999,378.3366,397.3703"
LMST03020653_26-27_0_0_chain,652.6027,"119.0855,149.1199,278.2842,397.3703,404.3523",,"119.0855,149.1199,278.2842,397.3703,404.3523"
LMST03020654_0-1_0_0_chain,484.4149,"353.3203,383.3546,397.3703,470.3992",,"353.3203,383.3546,397.3703,470.3992"
LMST03020654_12-13_0_0_chain,484.4149,"123.1042,210.1488,304.2999,397.3703",,"123.1042,210.1488,304.2999,397.3703"
LMST03020654_14-15_0_0_chain,484.4149,"119.0855,149.1199,236.1645,278.2842,397.3703",,"119.0855,149.1199,236.1645,278.2842,397.3703"
LMST03020655_0-1_0_0_chain,430.3679,"416.3523,398.3417,380.3312",,"416.3523,398.3417,380.3312"
LMST03020655_7-8_0_0_chain,430.3679,"140.107,122.0964,320.2948,302.2842",,"140.107,122.0964,320.2948,302.2842"
LMST03020655_9-10_0_0_chain,430.3679,"294.2791,276.2686,166.1226,148.1121",,"294.2791,276.2686,166.1226,148.1121"
LMST03020656_0-1_0_0_chain,514.3891,500.3734,,500.3734
LMST03020656_2-3_0_0_chain,514.3891,"240.123,304.2999",,"240.123,304.2999"
LMST03020656_4-5_0_0_chain,514.3891,"278.2842,266.1387",,"278.2842,266.1387"
LMST03020657_3-4_0_0_chain,430.3679,"170.1176,152.107,134.0964,290.2842",,"170.1176,152.107,134.0964,290.2842"
LMST03020657_1-2_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST03020657_5-6_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST03020658_0-1_0_0_chain,416.3687,402.353,,402.353
LMST03020658_7-8_0_0_chain,416.3687,"142.1026,304.2999",,"142.1026,304.2999"
LMST03020658_9-10_0_0_chain,416.3687,"278.2842,168.1183",,"278.2842,168.1183"
LMST03020659_13-14_0_0_chain,514.3891,"254.1387,290.2842",,"254.1387,290.2842"
LMST03020659_12-33_0_0_ring,514.3891,,483.3469,483.3469
LMST03020659_15-16_0_0_ring,514.3891,,483.3469,483.3469
LMST03020660_3-4_0_0_chain,446.3628,"170.1176,152.107,134.0964,306.2791,288.2686",,"170.1176,152.107,134.0964,306.2791,288.2686"
LMST03020660_1-2_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST03020660_5-6_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST03020661_0-1_0_0_chain,430.3679,"416.3523,398.3417,380.3312",,"416.3523,398.3417,380.3312"
LMST03020661_2-3_0_0_chain,430.3679,"156.1019,138.0913,120.0808,304.2999",,"156.1019,138.0913,120.0808,304.2999"
LMST03020661_4-5_0_0_chain,430.3679,"278.2842,182.1176,164.107,146.0964",,"278.2842,182.1176,164.107,146.0964"
LMST03020662_12-13_0_0_chain,432.3836,"278.2842,184.1332,166.1226,148.1121",,"278.2842,184.1332,166.1226,148.1121"
LMST03020662_14-15_0_0_chain,432.3836,"158.1176,140.107,122.0964,304.2999",,"158.1176,140.107,122.0964,304.2999"
LMST03020663_0-1_0_0_chain,432.3636,"418.348,400.3374",,"418.348,400.3374"
LMST03020663_7-8_0_0_chain,432.3636,"140.107,122.0964,322.2904",,"140.107,122.0964,322.2904"
LMST03020663_9-10_0_0_chain,432.3636,"296.2748,166.1226,148.1121",,"296.2748,166.1226,148.1121"
LMST03020664_12-13_0_0_chain,412.3574,"276.2686,166.1226,148.1121",,"276.2686,166.1226,148.1121"
LMST03020664_14-15_0_0_chain,412.3574,"140.107,122.0964,302.2842",,"140.107,122.0964,302.2842"
LMST03020664_21-22_0_0_chain,412.3574,"398.3417,380.3312",,"398.3417,380.3312"
LMST03020664_0-1_0_0_chain,412.3574,"398.3417,380.3312",,"398.3417,380.3312"
LMST03020665_1-3_0_0_chain,412.3574,"370.3104,352.2999",,"370.3104,352.2999"
LMST03020665_13-14_0_0_chain,412.3574,"288.2686,154.1226,136.1121",,"288.2686,154.1226,136.1121"
LMST03020665_12-23_0_0_ring,412.3574,,"381.3152,363.3046","381.3152,363.3046"
LMST03020665_15-16_0_0_ring,412.3574,,"381.3152,363.3046","381.3152,363.3046"
LMST03020666_0-1_0_0_chain,464.3534,"450.3378,432.3272,414.3167",,"450.3378,432.3272,414.3167"
LMST03020666_2-3_0_0_chain,464.3534,"156.1019,138.0913,120.0808,338.2854,320.2748",,"156.1019,138.0913,120.0808,338.2854,320.2748"
LMST03020666_4-5_0_0_chain,464.3534,"312.2697,294.2591,182.1176,164.107,146.0964",,"312.2697,294.2591,182.1176,164.107,146.0964"
LMST03020667_0-1_0_0_chain,450.3542,"436.3385,418.328",,"436.3385,418.328"
LMST03020667_2-3_0_0_chain,450.3542,"158.0976,140.087,322.2904",,"158.0976,140.087,322.2904"
LMST03020667_4-5_0_0_chain,450.3542,"296.2748,184.1132,166.1026",,"296.2748,184.1132,166.1026"
LMST03020668_0-1_0_0_chain,460.3421,"446.3265,428.3159,410.3053",,"446.3265,428.3159,410.3053"
LMST03020668_2-3_0_0_chain,460.3421,"156.1019,138.0913,120.0808,334.274,316.2635",,"156.1019,138.0913,120.0808,334.274,316.2635"
LMST03020668_4-5_0_0_chain,460.3421,"308.2584,290.2478,182.1176,164.107,146.0964",,"308.2584,290.2478,182.1176,164.107,146.0964"
LMST03020669_0-1_0_0_chain,430.3679,"416.3523,398.3417,380.3312",,"416.3523,398.3417,380.3312"
LMST03020669_7-8_0_0_chain,430.3679,"140.107,122.0964,320.2948,302.2842",,"140.107,122.0964,320.2948,302.2842"
LMST03020669_9-10_0_0_chain,430.3679,"294.2791,276.2686,166.1226,148.1121",,"294.2791,276.2686,166.1226,148.1121"
LMST03020670_0-1_0_0_chain,754.4736,"740.4579,722.4474,704.4368",,"740.4579,722.4474,704.4368"
LMST03020670_2-3_0_0_chain,754.4736,"480.2075,462.197,444.1864,304.2999",,"480.2075,462.197,444.1864,304.2999"
LMST03020670_4-5_0_0_chain,754.4736,"278.2842,506.2232,488.2126,470.2021",,"278.2842,506.2232,488.2126,470.2021"
LMST03020671_0-1_0_0_chain,606.4,"592.3844,574.3738,556.3632",,"592.3844,574.3738,556.3632"
LMST03020671_2-3_0_0_chain,606.4,"332.134,314.1234,296.1129,304.2999",,"332.134,314.1234,296.1129,304.2999"
LMST03020671_4-5_0_0_chain,606.4,"278.2842,358.1496,340.1391,322.1285",,"278.2842,358.1496,340.1391,322.1285"
LMST03020672_12-13_0_0_ring,430.3679,,"399.3257,381.3152","399.3257,381.3152"
LMST03020673_13-14_0_0_chain,458.3992,"294.2791,276.2686,194.1539,176.1434",,"294.2791,276.2686,194.1539,176.1434"
LMST03020673_16-17_0_0_ring,458.3992,,"427.357,409.3465,391.3359","427.357,409.3465,391.3359"
LMST03020674_0-1_0_0_chain,478.3527,"464.337,446.3265,428.3159",,"464.337,446.3265,428.3159"
LMST03020674_2-3_0_0_chain,478.3527,"156.1019,138.0913,120.0808,352.2846,334.274,316.2635",,"156.1019,138.0913,120.0808,352.2846,334.274,316.2635"
LMST03020674_4-5_0_0_chain,478.3527,"326.269,308.2584,290.2478,182.1176,164.107,146.0964",,"326.269,308.2584,290.2478,182.1176,164.107,146.0964"
LMST03020675_0-1_0_0_chain,520.3996,"506.384,488.3734,470.3628",,"506.384,488.3734,470.3628"
LMST03020675_2-3_0_0_chain,520.3996,"230.1387,212.1281,194.1176,320.2948,302.2842",,"230.1387,212.1281,194.1176,320.2948,302.2842"
LMST03020675_4-5_0_0_chain,520.3996,"294.2791,276.2686,256.1543,238.1438,220.1332",,"294.2791,276.2686,256.1543,238.1438,220.1332"
LMST03020676_0-1_0_0_chain,494.3804,"480.3647,462.3542,444.3436",,"480.3647,462.3542,444.3436"
LMST03020676_7-8_0_0_chain,494.3804,"140.107,122.0964,384.3072,366.2967",,"140.107,122.0964,384.3072,366.2967"
LMST03020676_9-10_0_0_chain,494.3804,"358.2916,340.281,166.1226,148.1121",,"358.2916,340.281,166.1226,148.1121"
LMST03020677_0-1_0_0_chain,455.3744,"441.3588,423.3482,410.3166,392.306",,"441.3588,423.3482,410.3166,392.306"
LMST03020677_9-10_0_0_chain,455.3744,"165.1135,134.0713,320.2948,302.2842",,"165.1135,134.0713,320.2948,302.2842"
LMST03020677_11-12_0_0_chain,455.3744,"161.0947,294.2791,276.2686,191.1291",,"161.0947,294.2791,276.2686,191.1291"
LMST03020678_0-1_0_0_chain,430.3679,"416.3523,398.3417,380.3312",,"416.3523,398.3417,380.3312"
LMST03020678_7-8_0_0_chain,430.3679,"140.107,122.0964,320.2948,302.2842",,"140.107,122.0964,320.2948,302.2842"
LMST03020678_9-10_0_0_chain,430.3679,"294.2791,276.2686,166.1226,148.1121",,"294.2791,276.2686,166.1226,148.1121"
LMST03020679_6-7_0_0_chain,434.3628,"294.2791,276.2686,170.1176,152.107,134.0964",,"294.2791,276.2686,170.1176,152.107,134.0964"
LMST03020679_0-1_0_0_chain,434.3628,"420.3472,402.3366,384.3261",,"420.3472,402.3366,384.3261"
LMST03020679_4-5_0_0_chain,434.3628,"144.1019,126.0913,108.0808,320.2948,302.2842",,"144.1019,126.0913,108.0808,320.2948,302.2842"
LMST03020680_28-29_0_0_chain,490.3527,"434.2901,416.2795,398.269",,"434.2901,416.2795,398.269"
LMST03020680_9-10_0_0_ring,490.3527,,"459.3105,441.2999,423.2894","459.3105,441.2999,423.2894"
LMST03020681_0-1_0_0_chain,485.3737,"471.3581,453.3475,435.337",,"471.3581,453.3475,435.337"
LMST03020681_2-3_0_0_chain,485.3737,"156.1019,138.0913,120.0808,359.3057",,"156.1019,138.0913,120.0808,359.3057"
LMST03020681_4-5_0_0_chain,485.3737,"333.29,182.1176,164.107,146.0964",,"333.29,182.1176,164.107,146.0964"
LMST03020682_0-1_0_0_chain,510.3578,"496.3421,478.3316,460.321",,"496.3421,478.3316,460.321"
LMST03020682_2-3_0_0_chain,510.3578,"156.1019,138.0913,120.0808,384.2897,366.2791",,"156.1019,138.0913,120.0808,384.2897,366.2791"
LMST03020682_4-5_0_0_chain,510.3578,"358.274,340.2635,182.1176,164.107,146.0964",,"358.274,340.2635,182.1176,164.107,146.0964"
LMST03020683_0-1_0_0_chain,524.3734,"510.3578,492.3472,474.3366",,"510.3578,492.3472,474.3366"
LMST03020683_2-3_0_0_chain,524.3734,"156.1019,138.0913,120.0808,398.3053,380.2948",,"156.1019,138.0913,120.0808,398.3053,380.2948"
LMST03020683_4-5_0_0_chain,524.3734,"372.2897,354.2791,182.1176,164.107,146.0964",,"372.2897,354.2791,182.1176,164.107,146.0964"
LMST03020684_0-1_0_0_chain,487.4258,"473.4101,455.3996",,"473.4101,455.3996"
LMST03020684_11-12_0_0_chain,487.4258,"197.1648,320.2948,302.2842",,"197.1648,320.2948,302.2842"
LMST03020684_13-14_0_0_chain,487.4258,"294.2791,276.2686,223.1805",,"294.2791,276.2686,223.1805"
LMST03020685_6-7_0_0_chain,534.4153,"432.3472,414.3366,396.3261,132.1019",,"432.3472,414.3366,396.3261,132.1019"
LMST03020685_11-12_0_0_chain,534.4153,"244.1543,226.1438,208.1332,320.2948,302.2842",,"244.1543,226.1438,208.1332,320.2948,302.2842"
LMST03020685_13-14_0_0_chain,534.4153,"294.2791,276.2686,270.17,252.1594,234.1488",,"294.2791,276.2686,270.17,252.1594,234.1488"
LMST03020686_0-1_0_0_chain,462.3578,"448.3421,430.3316,412.321",,"448.3421,430.3316,412.321"
LMST03020686_2-3_0_0_chain,462.3578,"156.1019,138.0913,120.0808,336.2897,318.2791,300.2686",,"156.1019,138.0913,120.0808,336.2897,318.2791,300.2686"
LMST03020686_4-5_0_0_chain,462.3578,"310.274,292.2635,274.2529,182.1176,164.107,146.0964",,"310.274,292.2635,274.2529,182.1176,164.107,146.0964"
LMST03020687_0-1_0_0_chain,388.2846,"374.269,356.2584,338.2478",,"374.269,356.2584,338.2478"
LMST03020687_2-3_0_0_chain,388.2846,"156.1019,138.0913,120.0808,262.2165",,"156.1019,138.0913,120.0808,262.2165"
LMST03020687_4-5_0_0_chain,388.2846,"236.2009,182.1176,164.107,146.0964",,"236.2009,182.1176,164.107,146.0964"
LMST03020688_9-10_0_0_chain,386.3053,"234.2216,182.1176,164.107,146.0964",,"234.2216,182.1176,164.107,146.0964"
LMST03020688_11-12_0_0_chain,386.3053,"156.1019,138.0913,120.0808,260.2373",,"156.1019,138.0913,120.0808,260.2373"
LMST03020688_19-20_0_0_chain,386.3053,"372.2897,354.2791,336.2686",,"372.2897,354.2791,336.2686"
LMST03020688_0-1_0_0_chain,386.3053,"372.2897,354.2791,336.2686",,"372.2897,354.2791,336.2686"
LMST03020689_0-1_0_0_chain,446.3628,"432.3472,414.3366,396.3261",,"432.3472,414.3366,396.3261"
LMST03020689_7-8_0_0_chain,446.3628,"140.107,122.0964,336.2897,318.2791,300.2686",,"140.107,122.0964,336.2897,318.2791,300.2686"
LMST03020689_9-10_0_0_chain,446.3628,"310.274,292.2635,274.2529,166.1226,148.1121",,"310.274,292.2635,274.2529,166.1226,148.1121"
LMST03020691_21-22_0_0_chain,444.3472,"374.269,356.2584,338.2478,100.1121",,"374.269,356.2584,338.2478,100.1121"
LMST03020692_19-20_0_0_chain,460.3421,"390.2639,372.2533,354.2428,100.1121",,"390.2639,372.2533,354.2428,100.1121"
LMST03020694_1-3_0_0_chain,426.3366,384.2897,,384.2897
LMST03030001_0-1_0_0_chain,428.3887,"414.373,396.3625",,"414.373,396.3625"
LMST03030001_7-8_0_0_chain,428.3887,"140.107,122.0964,318.3155",,"140.107,122.0964,318.3155"
LMST03030001_9-10_0_0_chain,428.3887,"292.2999,166.1226,148.1121",,"292.2999,166.1226,148.1121"
LMST03030003_2-3_0_0_chain,458.3628,"358.274,340.2635,322.2529,130.1226,112.1121",,"358.274,340.2635,322.2529,130.1226,112.1121"
LMST03030003_14-15_0_0_ring,458.3628,,"427.3206,409.3101,391.2995","427.3206,409.3101,391.2995"
LMST03030003_16-17_0_0_ring,458.3628,,"427.3206,409.3101,391.2995","427.3206,409.3101,391.2995"
LMST03030004_0-1_0_0_chain,444.3836,"430.3679,412.3574,394.3468",,"430.3679,412.3574,394.3468"
LMST03030004_7-8_0_0_chain,444.3836,"140.107,122.0964,334.3104,316.2999",,"140.107,122.0964,334.3104,316.2999"
LMST03030004_9-10_0_0_chain,444.3836,"308.2948,290.2842,166.1226,148.1121",,"308.2948,290.2842,166.1226,148.1121"
LMST03030005_0-1_0_0_chain,430.3679,"416.3523,398.3417,380.3312",,"416.3523,398.3417,380.3312"
LMST03030005_7-8_0_0_chain,430.3679,"140.107,122.0964,320.2948,302.2842",,"140.107,122.0964,320.2948,302.2842"
LMST03030005_9-10_0_0_chain,430.3679,"294.2791,276.2686,166.1226,148.1121",,"294.2791,276.2686,166.1226,148.1121"
LMST03040002_0-1_0_0_chain,442.4043,"428.3887,410.3781",,"428.3887,410.3781"
LMST03040002_7-8_0_0_chain,442.4043,"140.107,122.0964,332.3312",,"140.107,122.0964,332.3312"
LMST03040002_9-10_0_0_chain,442.4043,"306.3155,166.1226,148.1121",,"306.3155,166.1226,148.1121"
LMST03040003_11-12_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST03040003_13-14_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST03040004_0-1_0_0_chain,458.3992,"444.3836,426.373,408.3625",,"444.3836,426.373,408.3625"
LMST03040004_2-3_0_0_chain,458.3992,"156.1019,138.0913,120.0808,332.3312",,"156.1019,138.0913,120.0808,332.3312"
LMST03040004_4-5_0_0_chain,458.3992,"306.3155,182.1176,164.107,146.0964",,"306.3155,182.1176,164.107,146.0964"
LMST03040006_1-2_0_0_chain,472.3785,"444.3472,426.3366,408.3261",,"444.3472,426.3366,408.3261"
LMST03050001_0-1_0_0_chain,440.3887,"426.373,408.3625",,"426.373,408.3625"
LMST03050001_7-8_0_0_chain,440.3887,"140.107,122.0964,330.3155",,"140.107,122.0964,330.3155"
LMST03050001_9-10_0_0_chain,440.3887,"304.2999,166.1226,148.1121",,"304.2999,166.1226,148.1121"
LMST03050001_22-23_0_0_chain,440.3887,"342.2791,324.2686,128.1434",,"342.2791,324.2686,128.1434"
LMST03050002_3-4_0_0_chain,440.3887,"128.1434,342.2791,324.2686",,"128.1434,342.2791,324.2686"
LMST03050002_11-12_0_0_ring,440.3887,,"409.3465,391.3359","409.3465,391.3359"
LMST03050002_13-14_0_0_ring,440.3887,,"409.3465,391.3359","409.3465,391.3359"
LMST03050003_3-4_0_0_chain,472.3785,"128.1434,374.269,356.2584,338.2478",,"128.1434,374.269,356.2584,338.2478"
LMST03060001_0-1_0_0_chain,428.3887,"414.373,396.3625",,"414.373,396.3625"
LMST03060001_7-8_0_0_chain,428.3887,"140.107,122.0964,318.3155",,"140.107,122.0964,318.3155"
LMST03060001_9-10_0_0_chain,428.3887,"292.2999,166.1226,148.1121",,"292.2999,166.1226,148.1121"
LMST03060002_13-14_0_0_ring,428.3887,,"397.3465,379.3359","397.3465,379.3359"
LMST03060002_15-16_0_0_ring,428.3887,,"397.3465,379.3359","397.3465,379.3359"
LMST03060003_0-1_0_0_chain,458.3628,"444.3472,426.3366,408.3261",,"444.3472,426.3366,408.3261"
LMST03060003_8-9_0_0_chain,458.3628,"154.0862,136.0757,334.3104,316.2999",,"154.0862,136.0757,334.3104,316.2999"
LMST03060003_10-11_0_0_chain,458.3628,"308.2948,290.2842,180.1019,162.0913",,"308.2948,290.2842,180.1019,162.0913"
LMST03060004_0-1_0_0_chain,476.3734,"462.3578,444.3472,426.3366",,"462.3578,444.3472,426.3366"
LMST03060004_2-3_0_0_chain,476.3734,"156.1019,138.0913,120.0808,350.3053,332.2948",,"156.1019,138.0913,120.0808,350.3053,332.2948"
LMST03060004_4-5_0_0_chain,476.3734,"324.2897,306.2791,182.1176,164.107,146.0964",,"324.2897,306.2791,182.1176,164.107,146.0964"
LMST03060006_21-22_0_0_chain,456.3472,"372.2533,354.2427,114.1277",,"372.2533,354.2427,114.1277"
LMST04010142_21-22_0_0_ring,388.321,,"357.2788,339.2682","357.2788,339.2682"
LMST04010143_22-23_0_0_ring,388.321,,"357.2788,339.2682","357.2788,339.2682"
LMST04010144_9-10_0_0_ring,388.321,,"357.2788,339.2682","357.2788,339.2682"
LMST04010170_16-17_0_0_ring,388.321,,"357.2788,339.2682","357.2788,339.2682"
LMST04010198_14-15_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010199_14-15_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010200_13-14_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010201_13-14_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010202_12-13_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010203_12-13_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010204_11-12_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010205_11-12_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010206_11-12_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010207_10-11_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010208_22-23_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010209_22-23_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010210_23-24_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010211_9-10_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010212_21-22_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010213_15-16_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010214_15-16_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010216_23-24_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010217_14-15_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010218_24-25_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010219_13-14_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010220_12-13_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010221_12-13_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010222_11-12_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010223_11-12_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010224_10-11_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010225_22-23_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010226_22-23_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010227_14-15_0_0_ring,436.3057,,"405.2635,387.253,369.2424","405.2635,387.253,369.2424"
LMST04010228_2-3_0_0_chain,420.3108,"362.3053,344.2948,326.2842",,"362.3053,344.2948,326.2842"
LMST04010229_2-3_0_0_chain,420.3108,"362.3053,344.2948,326.2842",,"362.3053,344.2948,326.2842"
LMST04010230_2-3_0_0_chain,420.3108,"362.3053,344.2948,326.2842",,"362.3053,344.2948,326.2842"
LMST04010231_2-3_0_0_chain,436.3057,"378.3002,360.2897,342.2791",,"378.3002,360.2897,342.2791"
LMST04010232_2-3_0_0_chain,436.3057,"378.3002,360.2897,342.2791",,"378.3002,360.2897,342.2791"
LMST04010233_14-15_0_0_ring,402.3003,,"371.2581,353.2475","371.2581,353.2475"
LMST04010234_14-15_0_0_ring,400.2846,,"369.2424,351.2318","369.2424,351.2318"
LMST04010234_18-19_0_0_ring,400.2846,,"369.2424,351.2318","369.2424,351.2318"
LMST04010235_12-13_0_0_ring,400.2846,,"369.2424,351.2318","369.2424,351.2318"
LMST04010235_14-15_0_0_ring,400.2846,,"369.2424,351.2318","369.2424,351.2318"
LMST04010236_14-15_0_0_ring,416.2795,,"385.2373,367.2268","385.2373,367.2268"
LMST04010237_22-23_0_0_ring,418.2952,,"387.253,369.2424,351.2318","387.253,369.2424,351.2318"
LMST04010238_22-23_0_0_ring,418.2952,,"387.253,369.2424,351.2318","387.253,369.2424,351.2318"
LMST04010239_23-24_0_0_ring,418.2952,,"387.253,369.2424,351.2318","387.253,369.2424,351.2318"
LMST04010240_14-15_0_0_ring,418.2952,,"387.253,369.2424,351.2318","387.253,369.2424,351.2318"
LMST04010241_24-25_0_0_ring,434.2901,,"403.2479,385.2373,367.2268","403.2479,385.2373,367.2268"
LMST04010242_19-20_0_0_ring,416.2795,,"385.2373,367.2268,349.2162","385.2373,367.2268,349.2162"
LMST04010242_23-24_0_0_ring,416.2795,,"385.2373,367.2268,349.2162","385.2373,367.2268,349.2162"
LMST04010243_14-15_0_0_ring,416.2795,,"385.2373,367.2268,349.2162","385.2373,367.2268,349.2162"
LMST04010243_18-19_0_0_ring,416.2795,,"385.2373,367.2268,349.2162","385.2373,367.2268,349.2162"
LMST04010244_20-21_0_0_ring,432.2744,,"401.2322,383.2217,365.2111","401.2322,383.2217,365.2111"
LMST04010244_24-25_0_0_ring,432.2744,,"401.2322,383.2217,365.2111","401.2322,383.2217,365.2111"
LMST04010245_12-13_0_0_ring,416.2795,,"385.2373,367.2268,349.2162","385.2373,367.2268,349.2162"
LMST04010245_14-15_0_0_ring,416.2795,,"385.2373,367.2268,349.2162","385.2373,367.2268,349.2162"
LMST04010253_11-12_0_0_ring,418.2952,,"387.253,369.2424,351.2318","387.253,369.2424,351.2318"
LMST04010263_15-16_0_0_ring,388.321,,"357.2788,339.2682","357.2788,339.2682"
LMST04010264_14-15_0_0_ring,388.321,,"357.2788,339.2682","357.2788,339.2682"
LMST04010265_13-14_0_0_ring,388.321,,"357.2788,339.2682","357.2788,339.2682"
LMST04010266_12-13_0_0_ring,388.321,,"357.2788,339.2682","357.2788,339.2682"
LMST04010267_11-12_0_0_ring,388.321,,"357.2788,339.2682","357.2788,339.2682"
LMST04010268_11-12_0_0_ring,388.321,,"357.2788,339.2682","357.2788,339.2682"
LMST04010269_10-11_0_0_ring,388.321,,"357.2788,339.2682","357.2788,339.2682"
LMST04010271_15-16_0_0_ring,434.2901,,"403.2479,385.2373,367.2268","403.2479,385.2373,367.2268"
LMST04010275_18-19_0_0_ring,402.3003,,"371.2581,353.2475","371.2581,353.2475"
LMST04010277_17-18_0_0_ring,416.2795,,"385.2373,367.2268","385.2373,367.2268"
LMST04010278_20-21_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010279_14-15_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010280_24-25_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010281_14-15_0_0_ring,414.2639,,"383.2217,365.2111","383.2217,365.2111"
LMST04010281_18-19_0_0_ring,414.2639,,"383.2217,365.2111","383.2217,365.2111"
LMST04010282_15-16_0_0_ring,416.2795,,"385.2373,367.2268,349.2162","385.2373,367.2268,349.2162"
LMST04010282_19-20_0_0_ring,416.2795,,"385.2373,367.2268,349.2162","385.2373,367.2268,349.2162"
LMST04010283_15-16_0_0_ring,416.2795,,"385.2373,367.2268,349.2162","385.2373,367.2268,349.2162"
LMST04010283_19-20_0_0_ring,416.2795,,"385.2373,367.2268,349.2162","385.2373,367.2268,349.2162"
LMST04010284_13-14_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010286_18-19_0_0_ring,404.3159,,"373.2737,355.2631,337.2526","373.2737,355.2631,337.2526"
LMST04010287_2-3_0_0_chain,402.3003,"344.2948,326.2842",,"344.2948,326.2842"
LMST04010287_11-12_0_0_ring,402.3003,,"371.2581,353.2475,335.2369","371.2581,353.2475,335.2369"
LMST04010293_22-23_0_0_ring,402.3003,,"371.2581,353.2475","371.2581,353.2475"
LMST04010295_9-10_0_0_ring,416.2795,,"385.2373,367.2268","385.2373,367.2268"
LMST04010296_9-10_0_0_ring,402.3003,,"371.2581,353.2475","371.2581,353.2475"
LMST04010297_11-12_0_0_ring,402.3003,,"371.2581,353.2475","371.2581,353.2475"
LMST04010298_24-25_0_0_ring,420.3108,,"389.2686,371.2581,353.2475","389.2686,371.2581,353.2475"
LMST04010299_9-10_0_0_ring,402.3003,,"371.2581,353.2475,335.2369","371.2581,353.2475,335.2369"
LMST04010299_11-12_0_0_ring,402.3003,,"371.2581,353.2475,335.2369","371.2581,353.2475,335.2369"
LMST04010307_2-3_0_0_chain,436.3057,"378.3002,360.2897,342.2791",,"378.3002,360.2897,342.2791"
