,mz,diagIonsInChian,diagIonsInRing,characteristicMass
LMST01010261_10-11_0_0_ring,460.3421,,"429.2999,411.2894,393.2788","429.2999,411.2894,393.2788"
LMST01010261_12-13_0_0_ring,460.3421,,"429.2999,411.2894,393.2788","429.2999,411.2894,393.2788"
LMST01010262_12-13_0_0_ring,464.3734,,"433.3312,415.3207,397.3101","433.3312,415.3207,397.3101"
LMST01010263_12-13_0_0_ring,464.3734,,"433.3312,415.3207,397.3101","433.3312,415.3207,397.3101"
LMST01010267_12-13_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010268_12-13_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010269_12-13_0_0_ring,430.3679,,"399.3257,381.3152","399.3257,381.3152"
LMST01010271_15-16_0_0_ring,430.3679,,"399.3257,381.3152","399.3257,381.3152"
LMST01010272_15-16_0_0_ring,428.3523,,397.3101,397.3101
LMST01010274_14-15_0_0_ring,432.3836,,"401.3414,383.3308","401.3414,383.3308"
LMST01010277_10-11_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST01010277_12-13_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST01010278_13-14_0_0_ring,448.3785,,"417.3363,399.3257","417.3363,399.3257"
LMST01010279_17-18_0_0_ring,448.3785,,"417.3363,399.3257","417.3363,399.3257"
LMST01010280_17-18_0_0_ring,448.3785,,"417.3363,399.3257","417.3363,399.3257"
LMST01010281_7-8_0_0_ring,430.4043,,399.3621,399.3621
LMST01010282_0-1_0_0_chain,428.3887,"414.373,396.3625",,"414.373,396.3625"
LMST01010282_15-16_0_0_ring,428.3887,,"397.3465,379.3359","397.3465,379.3359"
LMST01010283_14-15_0_0_ring,476.337,,"445.2948,427.2843,409.2737","445.2948,427.2843,409.2737"
LMST01010283_18-19_0_0_ring,476.337,,"445.2948,427.2843,409.2737","445.2948,427.2843,409.2737"
LMST01010284_0-1_0_0_chain,430.3679,"416.3523,398.3417,380.3312",,"416.3523,398.3417,380.3312"
LMST01010284_15-16_0_0_ring,430.3679,,"399.3257,381.3152,363.3046","399.3257,381.3152,363.3046"
LMST01010285_0-1_0_0_chain,456.3836,"442.3679,424.3574",,"442.3679,424.3574"
LMST01010285_3-4_0_0_chain,456.3836,"128.107,358.3104,340.2999",,"128.107,358.3104,340.2999"
LMST01010285_14-15_0_0_ring,456.3836,,"425.3414,407.3308","425.3414,407.3308"
LMST01010286_14-15_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01010287_2-3_0_0_chain,386.3417,"344.2948,326.2842",,"344.2948,326.2842"
LMST01010287_12-13_0_0_ring,386.3417,,"355.2995,337.289","355.2995,337.289"
LMST01010288_12-13_0_0_ring,384.3261,,"353.2839,335.2733","353.2839,335.2733"
LMST01010289_14-15_0_0_ring,412.3574,,"381.3152,363.3046","381.3152,363.3046"
LMST01010290_9-10_0_0_ring,416.3887,,"385.3465,367.3359","385.3465,367.3359"
LMST01010293_5-6_0_0_ring,520.3632,,"489.321,471.3105,453.2999","489.321,471.3105,453.2999"
LMST01010294_12-13_0_0_chain,450.3941,"406.3679,388.3574,370.3468",,"406.3679,388.3574,370.3468"
LMST01010295_4-5_0_0_chain,408.3261,"100.1121,338.2478",,"100.1121,338.2478"
LMST01010295_11-12_0_0_ring,408.3261,,377.2839,377.2839
LMST01010295_13-14_0_0_ring,408.3261,,377.2839,377.2839
LMST01010295_15-16_0_0_ring,408.3261,,377.2839,377.2839
LMST01010296_1-3_0_0_chain,486.3941,"444.3472,426.3366",,"444.3472,426.3366"
LMST01010296_15-16_0_0_ring,486.3941,,"455.3519,437.3414","455.3519,437.3414"
LMST01010299_0-1_0_0_chain,428.3523,"414.3366,396.3261",,"414.3366,396.3261"
LMST01010299_15-16_0_0_ring,428.3523,,"397.3101,379.2995","397.3101,379.2995"
LMST01010300_0-1_0_0_chain,430.3679,"416.3523,398.3417",,"416.3523,398.3417"
LMST01010301_16-17_0_0_ring,444.3836,,"413.3414,395.3308","413.3414,395.3308"
LMST01010302_11-12_0_0_ring,374.3053,,"343.2631,325.2526","343.2631,325.2526"
LMST01010304_2-4_0_0_chain,442.4043,"386.3417,368.3312",,"386.3417,368.3312"
LMST01010304_16-17_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST01010305_2-4_0_0_chain,442.4043,"386.3417,368.3312",,"386.3417,368.3312"
LMST01010305_16-17_0_0_ring,442.4043,,"411.3621,393.3516","411.3621,393.3516"
LMST01010306_16-17_0_0_ring,444.42,,"413.3778,395.3672","413.3778,395.3672"
LMST01010309_21-22_0_0_ring,444.3472,,"413.305,395.2944","413.305,395.2944"
LMST01010310_17-18_0_0_ring,444.3472,,"413.305,395.2944","413.305,395.2944"
LMST01010311_3-4_0_0_chain,412.321,"356.2584,338.2478",,"356.2584,338.2478"
LMST01010311_14-15_0_0_ring,412.321,,"381.2788,363.2682","381.2788,363.2682"
LMST01010311_18-19_0_0_ring,412.321,,"381.2788,363.2682","381.2788,363.2682"
LMST01010312_31-32_0_0_ring,648.4106,,"617.3684,599.3578","617.3684,599.3578"
LMST01010313_15-16_0_0_ring,400.3574,,369.3152,369.3152
LMST01010314_12-14_0_0_ring,458.3265,,"427.2843,409.2737","427.2843,409.2737"
LMST01010314_18-19_0_0_ring,458.3265,,"427.2843,409.2737","427.2843,409.2737"
LMST01010315_13-14_0_0_ring,402.373,,"371.3308,353.3203","371.3308,353.3203"
LMST01010316_4-5_0_0_chain,416.3887,"100.1121,346.3104,328.2999",,"100.1121,346.3104,328.2999"
LMST01010317_4-5_0_0_chain,414.373,"100.1121,344.2948,326.2842",,"100.1121,344.2948,326.2842"
LMST01010317_14-15_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
LMST01010318_12-13_0_0_ring,462.3578,,"431.3156,413.305,395.2944","431.3156,413.305,395.2944"
LMST01010319_26-27_0_0_ring,462.3578,,"431.3156,413.305,395.2944","431.3156,413.305,395.2944"
LMST01010320_25-26_0_0_ring,448.3421,,"417.2999,399.2894,381.2788","417.2999,399.2894,381.2788"
LMST01010324_11-12_0_0_ring,428.3523,,"397.3101,379.2995","397.3101,379.2995"
LMST01010324_13-14_0_0_ring,428.3523,,"397.3101,379.2995","397.3101,379.2995"
LMST01010330_24-25_0_0_ring,430.4043,,"399.3621,381.3516","399.3621,381.3516"
LMST01010331_25-26_0_0_ring,444.42,,"413.3778,395.3672","413.3778,395.3672"
LMST01010332_1-3_0_0_chain,456.42,"414.373,396.3625",,"414.373,396.3625"
LMST01010332_26-27_0_0_ring,456.42,,"425.3778,407.3672","425.3778,407.3672"
LMST01010333_4-5_0_0_chain,416.3887,"100.1121,346.3104,328.2999",,"100.1121,346.3104,328.2999"
LMST01010336_9-10_0_0_ring,506.384,,"475.3418,457.3312,439.3207","475.3418,457.3312,439.3207"
LMST01010337_25-26_0_0_chain,458.3628,"388.2846,370.274,100.1121",,"388.2846,370.274,100.1121"
LMST01010337_10-11_0_0_ring,458.3628,,"427.3206,409.3101","427.3206,409.3101"
LMST01010338_10-11_0_0_ring,460.3785,,"429.3363,411.3257","429.3363,411.3257"
LMST01010339_17-18_0_0_ring,460.3421,,"429.2999,411.2894,393.2788","429.2999,411.2894,393.2788"
LMST01010339_21-22_0_0_ring,460.3421,,"429.2999,411.2894,393.2788","429.2999,411.2894,393.2788"
LMST01010341_17-18_0_0_ring,460.3421,,"429.2999,411.2894,393.2788","429.2999,411.2894,393.2788"
LMST01010342_1-10_0_0_chain,458.3265,"316.2271,298.2165,172.1332,154.1226",,"316.2271,298.2165,172.1332,154.1226"
LMST01010342_17-18_0_0_ring,458.3265,,"427.2843,409.2737,391.2631","427.2843,409.2737,391.2631"
LMST01010345_15-16_0_0_ring,432.3836,,"401.3414,383.3308,365.3203","401.3414,383.3308,365.3203"
LMST01010346_1-3_0_0_chain,444.3472,"402.3002,384.2897,366.2791",,"402.3002,384.2897,366.2791"
LMST01010346_25-26_0_0_ring,444.3472,,"413.305,395.2944,377.2839","413.305,395.2944,377.2839"
LMST01010347_25-26_0_0_ring,446.3628,,"415.3206,397.3101,379.2995","415.3206,397.3101,379.2995"
LMST01010348_1-3_0_0_chain,576.4258,"534.3789,516.3683,498.3578",,"534.3789,516.3683,498.3578"
LMST01010348_14-15_0_0_ring,576.4258,,"545.3836,527.3731,509.3625","545.3836,527.3731,509.3625"
LMST01010349_19-20_0_0_ring,414.373,,383.3308,383.3308
LMST01010350_1-2_0_0_chain,414.373,"330.2791,312.2686,114.1277",,"330.2791,312.2686,114.1277"
LMST01010350_14-15_0_0_ring,414.373,,"383.3308,365.3203","383.3308,365.3203"
