LMID,SMILES
LMST01010106_19-20_0_-1_ring,CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@H]4[NH2+][C@@]45[C@@H](C[C@H](O)C(=O)C5(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010106_4-5_1_-1_chain,CC1(C)C(=O)[C@@H](O)C[C@@H]2C1=CC[C@@H]1[C@@]2(C)C(=O)C[C@]2(C)[C@@H]([C@@](C)(O)C(=O)[C@@H]3[NH2+][C@H]3C(C)(C)O)[C@H](O)C[C@@]12C
LMST01010106_19-20_1_-1_ring,CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@@H]4[NH2+][C@]45[C@@H](C[C@H](O)C(=O)C5(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010107_7-8_0_-1_chain,CC(=O)OC(C)(C)[C@H]1[NH2+][C@@H]1C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010107_22-23_0_-1_ring,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@H]4[NH2+][C@@]45[C@@H](C=C(O)C(=O)C5(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010107_25-26_0_-1_ring,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H]([C@H]5[NH2+][C@]5(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010107_7-8_1_-1_chain,CC(=O)OC(C)(C)[C@@H]1[NH2+][C@H]1C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H](C=C(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010107_22-23_1_-1_ring,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@@H]4[NH2+][C@]45[C@@H](C=C(O)C(=O)C5(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010107_25-26_1_-1_ring,CC(=O)OC(C)(C)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3CC=C4[C@@H]([C@@H]5[NH2+][C@@]5(O)C(=O)C4(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010108_4-5_0_-1_chain,CC1(C)C2=CC[C@@H]3[C@@](C)(C(=O)C[C@]4(C)[C@@H]([C@@](C)(O)C(=O)[C@H]5[NH2+][C@@H]5C(C)(C)O)[C@H](O)C[C@@]34C)[C@@H]2C[C@H](O)[C@H]1O
LMST01010108_19-20_0_-1_ring,CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@H]4[NH2+][C@@]45[C@@H](C[C@H](O)[C@@H](O)C5(C)C)[C@]3(C)C(=O)C[C@]12C
LMST01010108_4-5_1_-1_chain,CC1(C)C2=CC[C@@H]3[C@@](C)(C(=O)C[C@]4(C)[C@@H]([C@@](C)(O)C(=O)[C@@H]5[NH2+][C@H]5C(C)(C)O)[C@H](O)C[C@@]34C)[C@@H]2C[C@H](O)[C@H]1O
LMST01010108_19-20_1_-1_ring,CC(C)(O)/C=C/C(=O)[C@](C)(O)[C@H]1[C@H](O)C[C@@]2(C)[C@@H]3C[C@@H]4[NH2+][C@]45[C@@H](C[C@H](O)[C@@H](O)C5(C)C)[C@]3(C)C(=O)C[C@]12C
