,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
254,14600.0,1.0,LMST01010095_14-15_0_0_ring,414.37231,414.37302,8.351,9.08,0.9870239749453569,215.4279,217.4541627,0.902,4321248.375,362923.0721,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",0.444,1.0,0.75,0.75,240068.7,187856.0,260549.9,220139.9,0.7358047949890714,0.9582047949890714,0.8582047949890714,0.8582047949890714,0.853
1020,14893.0,0.5,LMST01010096_12-13_0_0_ring,416.39114,416.388669,10.05,9.89,1.0,218.1895,220.1217634,0.927,2269980.8125,191812.1349,-1,"385.346469,367.335909","385.346469,367.335909",-1,0.0,0.8,1.0,0.0,,326171.9,371225.2,,-1.0,0.8908,0.9708000000000001,-1.0,0.931
1034,14893.0,0.5,LMST01010097_11-12_0_0_ring,416.39114,416.388669,10.05,9.88,1.0,218.1895,219.0715714,1.0,2269980.8125,191812.1349,-1,"385.346469,367.335909","385.346469,367.335909",-1,0.0,0.8,1.0,0.0,,326171.9,371225.2,,-1.0,0.92,1.0,-1.0,0.96
80,14400.0,0.75,LMST01010121_14-15_0_0_ring,412.35837,412.35737,6.528,6.65,1.0,219.4328,218.5382186,1.0,127212.8125,56293.3708,381.31517,-1,381.31517,-1.0,0.25,0.0,0.333,0.0,35128.53,,44910.5,,0.7000000000000001,-1.0,0.7332000000000001,-1.0,0.717
1913,16213.0,1.0,LMST01010136_13-14_0_0_ring,430.40387,430.404318,10.615,13.29,0.05862928025091141,221.2671,221.4504758,1.0,1144551.1562,46499.9482,381.351558,"381.351558,399.362118",381.351558,"381.351558,399.362118",0.5,0.4,0.667,0.5,222256.5,238454.2,243802.7,242946.6,0.6117258560501824,-1.0,0.6785258560501823,0.6117258560501824,0.634
2033,16973.0,1.0,LMST01010143_1-3_0_0_chain,442.40552,442.404318,8.562,9.1,1.0,227.8856,230.6722486,0.774,2158404.8125,239322.6421,400.35737,400.35737,400.35737,400.35737,0.75,0.667,1.0,0.8,609890.1,511357.4,622085.4,530637.7,0.8096000000000001,0.7764000000000001,0.9096000000000002,0.8296000000000001,0.831
1938,16345.0,1.0,LMST01010164_15-16_0_0_ring,432.38553,432.383583,6.775,8.55,0.4877436626741183,220.7229,222.6193457,0.939,172120.2812,74589.2212,"365.320263,383.330823","365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823",0.5,0.2,0.75,0.714,30453.77,27888.23,44409.33,35413.44,0.6731487325348237,-1.0,0.7731487325348236,0.7587487325348237,0.735
2041,16973.0,1.0,LMST01010176_1-3_0_0_chain,442.40552,442.404318,8.562,6.26,0.23658195879215604,227.8856,224.4614007,0.627,2158404.8125,239322.6421,400.35737,400.35737,400.35737,400.35737,0.75,0.667,1.0,0.8,609890.1,511357.4,622085.4,530637.7,-1.0,-1.0,0.6981163917584312,0.6181163917584314,0.658
1939,16336.0,1.0,LMST01010201_15-16_0_0_ring,432.38226,432.383583,8.191,9.38,0.7690945883491902,217.7148,216.756402,1.0,359590.7734,95566.4138,"401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","401.341383,365.320263,383.330823","365.320263,383.330823",0.333,0.8,0.6,0.5,40629.43,59509.86,86173.0,59565.34,0.687018917669838,0.8738189176698381,0.793818917669838,0.7538189176698381,0.777
1346,16047.0,1.0,LMST01010202_1-3_0_0_chain,428.38739,428.388669,7.26,7.08,1.0,221.1522,221.8522029,1.0,322069.8438,38352.4145,386.34172,386.34172,386.34172,386.34172,0.833,0.444,0.286,0.5,63919.5,54340.63,72929.63,57475.66,0.9332,0.7776000000000001,0.7144,0.8,0.806
