,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
3133,13497.0,1.0,LMST01010331_25-26_0_0_ring,444.418,444.419967,9.904,9.69,1.0,223.3231,224.5578767,1.0,170372.4336,23769.5143,395.367207,413.377767,395.367207,-1,0.5,0.5,0.5,0.0,42748.34,51754.94,38827.01,,0.8,0.8,0.8,-1.0,0.8
3896,14413.0,1.0,LMST01010332_1-3_0_0_chain,456.41904,456.419967,9.004,7.84,0.7804251556983149,231.4679,233.706246,0.89,3248667.5625,220128.3002,414.37302,414.37302,414.37302,414.37302,0.6,0.667,0.5,0.333,1121780.0,1047921.0,1041171.0,1280818.0,0.752085031139663,0.7788850311396631,0.712085031139663,0.645285031139663,0.722
476,10930.0,1.0,LMST01010350_14-15_0_0_ring,414.37231,414.37302,7.54,8.46,0.8957315804727877,219.7662,218.1944338,1.0,7724790.875,904929.8959,365.32026,365.32026,"365.32026,383.33082","365.32026,383.33082",0.143,0.222,1.0,0.222,1831390.0,1744554.0,1495103.0,2072532.0,0.6363463160945576,0.6679463160945576,0.9791463160945576,0.6679463160945576,0.738
488,10942.0,1.0,LMST01010351_13-14_0_0_ring,414.37244,414.37302,8.472,9.41,0.8850835165260734,219.6192,218.8491891,1.0,966029.8594,638466.2545,"365.32026,383.33082",365.32026,-2,-1,0.333,0.25,0.0,0.0,259493.3,245797.0,,,0.7102167033052147,0.6770167033052147,-1.0,-1.0,0.694
1226,12189.0,1.0,LMST01010400_2-3_0_0_ring,428.38739,428.388669,8.421,8.1,1.0,224.3031,223.6652127,1.0,2878939.875,344957.7099,379.335909,-1,379.335909,-1,0.125,0.0,0.111,0.0,604974.3,,551462.5,,0.65,-1.0,0.6444000000000001,-1.0,0.647
5813,25766.0,1.0,LMST01020003_8-9_0_0_chain,680.63153,680.63397,19.776,20.51,0.9839990588366633,288.8786,285.8466307,0.842,2216869.9688,228485.6038,"554.49313,369.35156,312.28969,186.14884,156.17467","312.28969,369.35156,554.49313,156.17467","312.28969,369.35156,554.49313,156.17467","554.49313,369.35156,312.28969,186.14884,156.17467",0.583,0.667,0.455,0.6,337721.6,321905.5,251857.4,340535.7,0.7667998117673327,0.8003998117673327,0.7155998117673327,0.7735998117673326,0.764
5842,25900.0,1.0,LMST01020007_25-26_0_0_ring,682.65094,682.649619,23.017,21.02,0.38409090566449866,287.8791,291.5336483,0.753,526413.2031,120130.7141,"398.37811,367.33591","398.37811,367.33591","651.60742,398.37811,367.33591","651.60742,398.37811",0.714,1.0,0.667,0.625,115074.2,120863.6,90537.28,84237.06,0.6636181811328998,0.7780181811328998,0.6448181811328998,0.6280181811328998,0.679
5786,25656.0,1.0,LMST01020008_8-9_0_0_chain,678.61938,678.618321,20.439,21.21,0.9650914664995948,289.6674,289.56432,1.0,3542739.7812,1564923.3497,"369.35156,154.15902,554.49313,310.27404","369.35156,186.14884,554.49313,310.27404","154.15902,554.49313,369.35156,310.27404,186.14884","154.15902,554.49313,369.35156,310.27404,186.14884",0.571,0.778,1.0,0.909,660411.6,639939.8,518164.5,722363.9,0.821418293299919,0.904218293299919,0.993018293299919,0.956618293299919,0.919
5765,25540.0,0.75,LMST01020009_5-6_0_0_chain,676.60193,676.602672,19.695,21.17,0.6330374322525449,290.035,289.9326232,1.0,78912.8687,50027.2981,-1,369.35156,"369.35156,308.25839",-1,0.0,0.333,1.0,0.0,,12963.5,6489.382,,-1.0,0.659807486450509,0.926607486450509,-1.0,0.793
5767,25540.0,0.75,LMST01020009_8-9_0_0_chain,676.60193,676.602672,19.695,21.17,0.6298717579096168,290.035,287.8412265,0.98,78912.8687,50027.2981,-1,"369.35156,554.49313","369.35156,308.25839",554.49313,0.0,0.333,1.0,0.333,,12963.5,6489.382,6854.856,-1.0,0.6511743515819234,0.9179743515819234,0.6511743515819234,0.74
