,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
1257,10223.0,1.0,LMST01030137_4-5_0_0_chain,428.38739,428.388669,7.401,8.99,0.5753867981257437,220.2721,220.9396197,1.0,888200.2578,656947.7173,358.31042,"340.29986,358.31042",-1,358.31042,0.833,0.625,0.0,0.75,183502.2,322513.1,,176229.6,0.8482773596251487,0.7650773596251488,-1.0,0.8150773596251488,0.809
1666,11103.0,1.0,LMST01030138_16-17_0_0_ring,442.40549,442.404318,8.613,9.09,1.0,227.2283,225.1089629,0.897,2927290.5938,1055848.738,393.351558,411.362118,393.351558,"393.351558,411.362118",0.5,0.083,0.111,0.182,410311.6,460681.1,841341.3,429138.9,0.7588,-1.0,0.6032,0.6316,0.665
1893,11240.0,1.0,LMST01030140_14-15_0_0_ring,444.42126,444.419967,10.993,9.98,0.8491941012823536,225.0784,228.4295705,0.654,3181862.4375,873863.3764,"395.367207,413.377767",395.367207,"395.367207,413.377767","395.367207,413.377767",0.182,0.286,0.429,0.571,523395.4,819970.9,847109.1,495813.5,-1.0,-1.0,0.6030388202564707,0.6598388202564707,0.631
1269,10225.0,1.0,LMST01031024_13-14_0_0_ring,428.38739,428.388669,8.459,8.79,1.0,223.7173,221.0744511,0.78,2902393.75,1137250.0832,"379.335909,397.346469","379.335909,397.346469","379.335909,397.346469",397.346469,0.182,0.25,0.286,0.143,412161.7,776502.2,840338.3,395988.0,-1.0,0.6120000000000001,0.6264000000000001,-1.0,0.619
1280,10225.0,1.0,LMST01031027_13-14_0_0_ring,428.38739,428.388669,8.459,9.71,0.7394389758157112,223.7173,222.1764665,1.0,2902393.75,1137250.0832,"379.335909,397.346469","379.335909,397.346469","379.335909,397.346469",397.346469,0.182,0.25,0.286,0.143,412161.7,776502.2,840338.3,395988.0,0.6206877951631422,0.6478877951631423,0.6622877951631423,0.6050877951631423,0.634
1287,10225.0,1.0,LMST01031027_15-16_0_0_ring,428.38739,428.388669,8.459,10.2,0.5041032327970942,223.7173,223.0330852,1.0,2902393.75,1137250.0832,"379.335909,397.346469","379.335909,397.346469","379.335909,397.346469",397.346469,0.182,0.25,0.286,0.143,412161.7,776502.2,840338.3,395988.0,-1.0,0.6008206465594189,0.6152206465594189,-1.0,0.608
1298,10225.0,1.0,LMST01031028_15-16_0_0_ring,428.38739,428.388669,8.459,9.92,0.6357369260643729,223.7173,222.3383508,1.0,2902393.75,1137250.0832,"379.335909,397.346469","379.335909,397.346469","379.335909,397.346469",397.346469,0.182,0.25,0.286,0.143,412161.7,776502.2,840338.3,395988.0,-1.0,0.6271473852128746,0.6415473852128746,-1.0,0.634
1682,11103.0,1.0,LMST01031034_12-13_0_0_ring,442.40549,442.404318,8.613,9.72,0.8074862911735434,227.2283,226.0093498,1.0,2927290.5938,1055848.738,393.351558,411.362118,393.351558,"393.351558,411.362118",0.5,0.083,0.111,0.182,410311.6,460681.1,841341.3,429138.9,0.7614972582347087,-1.0,0.6058972582347087,0.6342972582347087,0.667
1688,11103.0,1.0,LMST01031036_16-17_0_0_ring,442.40549,442.404318,8.613,9.17,1.0,227.2283,226.4829652,1.0,2927290.5938,1055848.738,393.351558,411.362118,393.351558,"393.351558,411.362118",0.5,0.083,0.111,0.182,410311.6,460681.1,841341.3,429138.9,0.8,0.6332,0.6444000000000001,0.6728000000000001,0.688
368,8930.0,1.0,LMST01031048_14-15_0_0_ring,414.37231,414.37302,8.345,8.35,1.0,215.0598,217.2845307,0.859,320352.4023,101599.6928,"365.32026,383.33082","365.32026,383.33082","365.32026,383.33082","365.32026,383.33082",0.75,0.5,0.8,0.625,40404.55,65395.55,74963.52,37137.6,0.8436,0.7436,0.8636,0.7936000000000001,0.811
