,Alignment ID,Fill %,LMID,Average Mz,Theroy MZ,Average Rt(min),Pre RT,RT Score,Average CCS,Pre CCS,CCS Score,Area_mean,Area_std,Sample0_Match MSMS,Sample1_Match MSMS,Sample2_Match MSMS,Sample3_Match MSMS,Sample0_MSMS Score,Sample1_MSMS Score,Sample2_MSMS Score,Sample3_MSMS Score,Sample0_MS Area,Sample1_MS Area,Sample2_MS Area,Sample3_MS Area,Sample0_Final Score,Sample1_Final Score,Sample2_Final Score,Sample3_Final Score,Average_Final Score
403,14205.0,1.0,LMST01031049_14-15_0_0_ring,414.37231,414.37302,8.517,9.42,0.9037345228751731,215.4279,217.2845307,0.938,203608.6836,64071.3418,383.33082,-1,383.33082,-1,0.333,0.0,0.667,0.0,14157.65,,34067.82,,0.6891469045750346,-1.0,0.8227469045750346,-1.0,0.756
1564,16478.0,1.0,LMST01031083_11-12_0_0_ring,442.40216,442.404318,8.598,9.64,0.8394543986048466,227.2283,226.0975199,1.0,3920971.125,1850910.7366,393.351558,-1,393.351558,-1,0.143,0.0,0.1,0.0,392352.9,,1227169.0,,0.6250908797209693,-1.0,0.6078908797209693,-1.0,0.616
1578,16478.0,1.0,LMST01040121_13-14_0_0_ring,442.40216,442.404318,8.598,9.22,1.0,227.2283,226.7642429,1.0,3920971.125,1850910.7366,393.351558,-1,393.351558,-1,0.143,0.0,0.1,0.0,392352.9,,1227169.0,,0.6572,-1.0,0.64,-1.0,0.649
1703,16645.0,1.0,LMST01040122_13-14_0_0_ring,444.42126,444.419967,10.982,10.07,0.9000512103841909,225.2246,227.9732584,0.775,3502223.8125,1105570.6476,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.273,0.571,0.5,459821.2,945976.8,967370.2,613758.1,0.6616102420768383,-1.0,0.7184102420768382,0.6900102420768383,0.69
1704,16645.0,1.0,LMST01040125_11-12_0_0_ring,444.42126,444.419967,10.982,9.51,0.6340154788183175,225.2246,225.6976412,1.0,3502223.8125,1105570.6476,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.273,0.571,0.5,459821.2,945976.8,967370.2,613758.1,0.6984030957636636,0.6360030957636635,0.7552030957636635,0.7268030957636635,0.704
1593,16478.0,1.0,LMST01040131_13-14_0_0_ring,442.40216,442.404318,8.598,7.8,0.9525785991848944,227.2283,229.1309209,0.949,3920971.125,1850910.7366,393.351558,-1,393.351558,-1,0.143,0.0,0.1,0.0,392352.9,,1227169.0,,0.6273157198369789,-1.0,0.6101157198369789,-1.0,0.619
1595,16478.0,1.0,LMST01040131_2-27_0_0_chain,442.40216,442.404318,8.598,8.13,1.0,227.2283,227.2757223,1.0,3920971.125,1850910.7366,400.35737,400.35737,400.35737,400.35737,0.571,0.5,0.7,0.75,392352.9,959879.4,1227169.0,603874.6,0.8284,0.8,0.88,0.9,0.852
1705,16645.0,1.0,LMST01040133_11-12_0_0_ring,444.42126,444.419967,10.982,9.32,0.5395336214894795,225.2246,225.6976412,1.0,3502223.8125,1105570.6476,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.273,0.571,0.5,459821.2,945976.8,967370.2,613758.1,0.6795067242978959,0.6171067242978959,0.7363067242978959,0.7079067242978959,0.685
1706,16645.0,1.0,LMST01040134_10-11_0_0_ring,444.42126,444.419967,10.982,9.62,0.6827947638345204,225.2246,225.588222,1.0,3502223.8125,1105570.6476,"395.367207,413.377767","395.367207,413.377767","395.367207,413.377767","395.367207,413.377767",0.429,0.273,0.571,0.5,459821.2,945976.8,967370.2,613758.1,0.7081589527669041,0.6457589527669041,0.7649589527669041,0.7365589527669041,0.714
1600,16478.0,1.0,LMST01040136_2-27_0_0_chain,442.40216,442.404318,8.598,8.08,1.0,227.2283,224.656202,0.803,3920971.125,1850910.7366,400.35737,400.35737,400.35737,400.35737,0.571,0.5,0.7,0.75,392352.9,959879.4,1227169.0,603874.6,0.7496,0.7212000000000001,0.8012,0.8212,0.773
