,mz,diagIonsInChian,diagIonsInRing,characteristicMass,RT,CCS,Standard
LMST01010503_4-5_0_0_chain,428.352284,"100.11207,358.27404,340.26348",,"100.11207,358.27404,340.26348",497.5805664,219.0606913,
LMST01010504_17-18_0_0_ring,444.347199,,"413.304999,395.294439,377.283879","413.304999,395.294439,377.283879",476.3551331,219.6680728,
LMST01010504_21-22_0_0_ring,444.347199,,"413.304999,395.294439,377.283879","413.304999,395.294439,377.283879",521.5429077,218.4493854,
LMST01010505_10-11_0_0_ring,518.383974,,"487.341774,469.331214","487.341774,469.331214",519.5792847,235.0794938,
LMST01010509_14-15_0_0_ring,432.383583,,"401.341383,383.330823,365.320263","401.341383,383.330823,365.320263",610.1224976,222.7225659,
LMST01010511_12-13_0_0_ring,530.34759,,"499.30539,481.29482999999993,463.28427","499.30539,481.29482999999993,463.28427",60,232.1300801,
LMST01010511_1-3_0_0_chain,530.34759,"488.30064,470.29008,452.27952",,"488.30064,470.29008,452.27952",60,226.7094074,
LMST01010512_20-21_0_0_ring,566.368717,,"535.326517,517.3159569999999,499.30539699999997","535.326517,517.3159569999999,499.30539699999997",259.1028442,236.6494951,
LMST01010513_18-19_0_0_ring,636.410578,,"605.368378,587.357818,569.347258","605.368378,587.357818,569.347258",376.7901306,250.6447065,
LMST01010514_17-18_0_0_ring,580.384366,,"549.342166,531.331606,513.321046","549.342166,531.331606,513.321046",296.3355713,240.7223165,
LMST01010515_19-20_0_0_ring,550.373803,,"519.331603,501.3210429999999,483.310483","519.331603,501.3210429999999,483.310483",246.6271057,229.175655,
LMST01010516_21-22_0_0_ring,590.368717,,"559.326517,541.3159569999999,523.305397","559.326517,541.3159569999999,523.305397",253.1939087,243.9729119,
LMST01010517_21-22_0_0_ring,588.353067,,"557.310867,539.300307,521.289747","557.310867,539.300307,521.289747",274.1954651,243.4128587,
LMST01010517_7-8_0_0_chain,588.353067,"144.1019,474.28499,456.27443,438.26387",,"144.1019,474.28499,456.27443,438.26387",96.32183838,243.5016509,
LMST01010518_22-23_0_0_ring,592.384366,,"561.342166,543.331606,525.321046","561.342166,543.331606,525.321046",288.3530884,242.2640481,
LMST01010519_19-20_0_0_ring,548.358153,,"517.315953,499.305393,481.29483300000004","517.315953,499.305393,481.29483300000004",271.9022217,234.3011678,
LMST01010519_4-5_0_0_chain,548.358153,"102.09133,476.30064,458.29008,440.27952",,"102.09133,476.30064,458.29008,440.27952",137.4864502,228.9765321,
LMST01010520_16-17_0_0_ring,494.34759,,"463.30539000000005,445.29483000000005,427.28427000000005","463.30539000000005,445.29483000000005,427.28427000000005",238.8709106,223.5820485,
LMST01020001_19-20_0_0_ring,598.555724,,"367.33591,398.37811,567.51353","367.33591,398.37811,567.51353",1219.130737,282.7995856,
LMST01020002_26-27_0_0_ring,696.665268,,"367.33591,398.37811,665.62307","367.33591,398.37811,665.62307",1259.449463,288.1807142,
LMST01020003_25-26_0_0_ring,680.63397,,"367.33591,398.37811,649.59177","367.33591,398.37811,649.59177",1224,291.2,1
LMST01020003_8-9_0_0_chain,680.63397,"156.17467,186.14884,312.28969,369.35156,554.49313",,"156.17467,186.14884,312.28969,369.35156,554.49313",1224,285.8466307,
LMST01020004_21-22_0_0_ring,626.587022,,"367.33591,398.37811,595.54483","367.33591,398.37811,595.54483",1232.810303,290.0001751,
LMST01020005_23-24_0_0_ring,654.618321,,"367.33591,398.37811,623.57613","367.33591,398.37811,623.57613",1308,285.6,1
LMST01020006_23-24_0_0_ring,652.602672,,"367.33591,398.37811,621.56047","367.33591,398.37811,621.56047",1290.582153,288.3416053,
LMST01020006_6-7_0_0_chain,652.602672,"128.14337,186.14884,284.25839,369.35156,554.49313",,"128.14337,186.14884,284.25839,369.35156,554.49313",1170.545654,291.499816,
LMST01020007_25-26_0_0_ring,682.649619,,"367.33591,398.37811,651.60742","367.33591,398.37811,651.60742",1254.720581,291.5336483,
LMST01020008_25-26_0_0_ring,678.618321,,"367.33591,398.37811,647.57613","367.33591,398.37811,647.57613",1266,291.2,1
LMST01020008_5-6_0_0_chain,678.618321,"114.12772,226.18014,310.27404,369.35156,594.52443",,"114.12772,226.18014,310.27404,369.35156,594.52443",1266,291.4,1
LMST01020008_8-9_0_0_chain,678.618321,"154.15902,186.14884,310.27404,369.35156,554.49313",,"154.15902,186.14884,310.27404,369.35156,554.49313",1266,289.56432,
LMST01020009_2-3_0_0_chain,676.602672,"266.21144,308.25839,369.35156,634.55572",,"266.21144,308.25839,369.35156,634.55572",1267.136475,294.2302274,
LMST01020009_25-26_0_0_ring,676.602672,,"367.33591,398.37811,645.56047","367.33591,398.37811,645.56047",1358.825195,290.1808869,
LMST01020009_5-6_0_0_chain,676.602672,"112.11207,226.18014,308.25839,369.35156,594.52443",,"112.11207,226.18014,308.25839,369.35156,594.52443",1263.209595,289.9326232,
LMST01020009_8-9_0_0_chain,676.602672,"152.14337,186.14884,308.25839,369.35156,554.49313",,"152.14337,186.14884,308.25839,369.35156,554.49313",1263.606934,287.8412265,
LMST01020010_27-28_0_0_ring,710.680918,,"367.33591,398.37811,679.63872","367.33591,398.37811,679.63872",1263.927856,288.5354134,
LMST01020011_27-28_0_0_ring,708.665268,,"367.33591,398.37811,677.62307","367.33591,398.37811,677.62307",1308.273926,288.5549133,
LMST01020011_8-9_0_0_chain,708.665268,"156.17467,214.18014,340.32099,369.35156,582.52443",,"156.17467,214.18014,340.32099,369.35156,582.52443",1196.835815,292.0463678,
LMST01020012_27-28_0_0_ring,706.649619,,"367.33591,398.37811,675.60742","367.33591,398.37811,675.60742",1346.026855,287.3450597,
LMST01020012_5-6_0_0_chain,706.649619,"114.12772,254.21144,338.30534,369.35156,622.55572",,"114.12772,254.21144,338.30534,369.35156,622.55572",1244.050903,287.7245657,
LMST01020012_8-9_0_0_chain,706.649619,"154.15902,214.18014,338.30534,369.35156,582.52443",,"154.15902,214.18014,338.30534,369.35156,582.52443",1245.130981,287.6480466,
LMST01020013_11-12_0_0_chain,704.63397,"172.1332,194.19031,336.28969,369.35156,540.47748",,"172.1332,194.19031,336.28969,369.35156,540.47748",1284.846191,292.5152534,
LMST01020013_27-28_0_0_ring,704.63397,,"367.33591,398.37811,673.59177","367.33591,398.37811,673.59177",1378.253418,297.2324282,
LMST01020013_5-6_0_0_chain,704.63397,"114.12772,252.19579,336.28969,369.35156,620.54008",,"114.12772,252.19579,336.28969,369.35156,620.54008",1281.324097,293.0096393,
LMST01020013_8-9_0_0_chain,704.63397,"154.15902,212.16449,336.28969,369.35156,580.50878",,"154.15902,212.16449,336.28969,369.35156,580.50878",1284.530518,295.9427231,
LMST01020014_11-12_0_0_chain,702.618321,"170.11755,194.19031,334.27404,369.35156,538.46183",,"170.11755,194.19031,334.27404,369.35156,538.46183",1313.321777,298.1234117,
LMST01020014_14-15_0_0_chain,702.618321,"130.08625,234.22161,334.27404,369.35156,498.43053",,"130.08625,234.22161,334.27404,369.35156,498.43053",1314.815674,297.8690999,
LMST01020014_27-28_0_0_ring,702.618321,,"367.33591,398.37811,671.57613","367.33591,398.37811,671.57613",1400.972412,296.8374752,
LMST01020014_5-6_0_0_chain,702.618321,"114.12772,250.18014,334.27404,369.35156,618.52443",,"114.12772,250.18014,334.27404,369.35156,618.52443",1312.232422,297.1982318,
LMST01020014_8-9_0_0_chain,702.618321,"154.15902,210.14884,334.27404,369.35156,578.49313",,"154.15902,210.14884,334.27404,369.35156,578.49313",1312.505859,297.1548339,
LMST01020015_11-12_0_0_chain,700.602672,"170.11755,192.17467,332.25839,369.35156,538.46183",,"170.11755,192.17467,332.25839,369.35156,538.46183",1328.087036,296.9415929,
LMST01020015_14-15_0_0_chain,700.602672,"130.08625,232.20596,332.25839,369.35156,498.43053",,"130.08625,232.20596,332.25839,369.35156,498.43053",1330.232422,295.9437132,
LMST01020015_2-3_0_0_chain,700.602672,"290.21144,332.25839,369.35156,658.55572",,"290.21144,332.25839,369.35156,658.55572",1332.680908,296.4621068,
LMST01020015_27-28_0_0_ring,700.602672,,"367.33591,398.37811,669.56047","367.33591,398.37811,669.56047",1414.627197,296.23843,
LMST01020015_5-6_0_0_chain,700.602672,"112.11207,250.18014,332.25839,369.35156,618.52443",,"112.11207,250.18014,332.25839,369.35156,618.52443",1327.584961,295.6054956,
LMST01020015_8-9_0_0_chain,700.602672,"152.14337,210.14884,332.25839,369.35156,578.49313",,"152.14337,210.14884,332.25839,369.35156,578.49313",1327.223633,294.4005322,
