,mz,diagIonsInChian,diagIonsInRing,characteristicMass,RT,CCS,Standard
LMST03020431_0-1_0_0_chain,490.38906,"476.37341,458.36285,440.35229",,"476.37341,458.36285,440.35229",570.6113281,233.4328366,
LMST03020431_2-3_0_0_chain,490.38906,"156.1019,138.09134,120.08078,364.32099,346.31043",,"156.1019,138.09134,120.08078,364.32099,346.31043",471.9496155,230.1837639,
LMST03020431_4-5_0_0_chain,490.38906,"338.30534,320.29478,182.11755,164.10699,146.09643",,"338.30534,320.29478,182.11755,164.10699,146.09643",566.9793091,229.9720468,
LMST03020432_0-1_0_0_chain,490.38906,"476.37341,458.36285,440.35229",,"476.37341,458.36285,440.35229",524.6565552,238.1234035,
LMST03020432_2-3_0_0_chain,490.38906,"156.1019,138.09134,120.08078,364.32099,346.31043",,"156.1019,138.09134,120.08078,364.32099,346.31043",388.5466003,233.7675332,
LMST03020432_4-5_0_0_chain,490.38906,"338.30534,320.29478,182.11755,164.10699,146.09643",,"338.30534,320.29478,182.11755,164.10699,146.09643",545.387207,235.9635345,
LMST03020433_0-1_0_0_chain,490.38906,"476.37341,458.36285,440.35229",,"476.37341,458.36285,440.35229",460.9995728,231.8461851,
LMST03020433_2-3_0_0_chain,490.38906,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",303.097168,228.4420339,
LMST03020433_4-5_0_0_chain,490.38906,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",523.8815918,227.486315,
LMST03020434_0-1_0_0_chain,490.38906,"476.37341,458.36285,440.35229",,"476.37341,458.36285,440.35229",485.4328003,231.8461851,
LMST03020434_2-3_0_0_chain,490.38906,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",335.7745972,228.4420339,
LMST03020434_4-5_0_0_chain,490.38906,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",494.7407837,227.486315,
LMST03020435_0-1_0_0_chain,490.38906,"476.37341,458.36285,440.35229",,"476.37341,458.36285,440.35229",459.4944458,235.7147834,
LMST03020435_2-3_0_0_chain,490.38906,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",314.9627686,231.0903446,
LMST03020435_4-5_0_0_chain,490.38906,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",491.1008911,233.1371346,
LMST03020436_0-1_0_0_chain,490.38906,"476.37341,458.36285,440.35229",,"476.37341,458.36285,440.35229",459.2184448,231.8052508,
LMST03020436_2-3_0_0_chain,490.38906,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",307.6398926,228.4653588,
LMST03020436_4-5_0_0_chain,490.38906,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",439.4081726,229.8669973,
LMST03020437_0-1_0_0_chain,490.38906,"476.37341,458.36285,440.35229",,"476.37341,458.36285,440.35229",549.6430664,233.0777994,
LMST03020437_2-3_0_0_chain,490.38906,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",423.5975952,229.4599479,
LMST03020437_4-5_0_0_chain,490.38906,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",536.4978027,230.4200683,
LMST03020438_0-1_0_0_chain,490.38906,"476.37341,458.36285,440.35229",,"476.37341,458.36285,440.35229",537.1771851,235.5939501,
LMST03020438_2-3_0_0_chain,490.38906,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",419.9941406,231.0047202,
LMST03020438_4-5_0_0_chain,490.38906,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",559.6689453,232.4066869,
LMST03020439_0-1_0_0_chain,490.38906,"476.37341,458.36285,440.35229",,"476.37341,458.36285,440.35229",583.5791626,235.5939501,
LMST03020439_2-3_0_0_chain,490.38906,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",495.9502869,231.0047202,
LMST03020439_4-5_0_0_chain,490.38906,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",591.6588135,232.4066869,
LMST03020440_0-1_0_0_chain,506.383974,"492.36832,474.35776,456.3472",,"492.36832,474.35776,456.3472",535.9631348,239.7733581,
LMST03020440_2-3_0_0_chain,506.383974,"216.12302,198.11246,180.1019,320.29477,302.28421",,"216.12302,198.11246,180.1019,320.29477,302.28421",448.7425232,237.4590032,
LMST03020440_4-5_0_0_chain,506.383974,"294.27912,276.26856,242.13867,224.12811,206.11755",,"294.27912,276.26856,242.13867,224.12811,206.11755",556.9604492,238.1916756,
LMST03020441_10-11_0_0_chain,460.414881,"186.14884,168.13828,304.29986",,"186.14884,168.13828,304.29986",599.5463257,232.1895688,
LMST03020441_12-13_0_0_chain,460.414881,"278.28421,212.16449,194.15393",,"278.28421,212.16449,194.15393",585.1107178,231.3985371,
LMST03020442_10-11_0_0_chain,460.414881,"186.14884,168.13828,304.29986",,"186.14884,168.13828,304.29986",594.0119629,232.1895688,
LMST03020442_12-13_0_0_chain,460.414881,"278.28421,212.16449,194.15393",,"278.28421,212.16449,194.15393",580.6748047,231.3985371,
LMST03020443_10-11_0_0_chain,460.414881,"186.14884,168.13828,304.29986",,"186.14884,168.13828,304.29986",599.5463257,232.1895688,
LMST03020443_12-13_0_0_chain,460.414881,"278.28421,212.16449,194.15393",,"278.28421,212.16449,194.15393",586.072876,231.3985371,
LMST03020444_0-1_0_0_chain,482.362848,"468.3472,450.33664,432.32608",,"468.3472,450.33664,432.32608",462.3858643,238.8879765,
LMST03020444_11-12_0_0_chain,482.362848,"196.16958,178.15902,316.22709,298.21653,280.20597",,"196.16958,178.15902,316.22709,298.21653,280.20597",458.4382629,233.7302188,
LMST03020444_2-3_0_0_chain,482.362848,"156.1019,138.09134,120.08078,356.29477,338.28421",,"156.1019,138.09134,120.08078,356.29477,338.28421",309.1033936,235.2283744,
LMST03020444_4-5_0_0_chain,482.362848,"330.27912,312.26856,182.11755,164.10699,146.09643",,"330.27912,312.26856,182.11755,164.10699,146.09643",484.2040405,237.022231,
LMST03020445_0-1_0_0_chain,482.362848,"468.3472,450.33664,432.32608",,"468.3472,450.33664,432.32608",461.8210754,238.8879765,
LMST03020445_11-12_0_0_chain,482.362848,"196.16958,178.15902,316.22709,298.21653,280.20597",,"196.16958,178.15902,316.22709,298.21653,280.20597",458.4382629,233.7302188,
LMST03020445_2-3_0_0_chain,482.362848,"156.1019,138.09134,120.08078,356.29477,338.28421",,"156.1019,138.09134,120.08078,356.29477,338.28421",308.2689819,235.2283744,
LMST03020445_4-5_0_0_chain,482.362848,"330.27912,312.26856,182.11755,164.10699,146.09643",,"330.27912,312.26856,182.11755,164.10699,146.09643",483.7142944,237.022231,
LMST03020446_0-1_0_0_chain,482.362848,"468.3472,450.33664,432.32608",,"468.3472,450.33664,432.32608",483.5160522,239.0892102,
LMST03020446_12-13_0_0_chain,482.362848,"468.3472,450.33664,432.32608",,"468.3472,450.33664,432.32608",479.163147,233.5588037,
LMST03020446_2-3_0_0_chain,482.362848,"156.1019,138.09134,120.08078,356.29477,338.28421",,"156.1019,138.09134,120.08078,356.29477,338.28421",334.5176086,235.8617886,
LMST03020446_4-5_0_0_chain,482.362848,"330.27912,312.26856,182.11755,164.10699,146.09643",,"330.27912,312.26856,182.11755,164.10699,146.09643",513.1606445,236.2794943,
LMST03020447_0-1_0_0_chain,482.362848,"468.3472,450.33664,432.32608",,"468.3472,450.33664,432.32608",491.6688843,236.0624339,
LMST03020447_17-18_0_0_chain,482.362848,"358.27404,340.26348,322.25292,154.12263,136.11207",,"358.27404,340.26348,322.25292,154.12263,136.11207",423.9319458,230.8311592,
LMST03020447_19-20_0_0_chain,482.362848,"384.28969,366.27913,348.26857,128.10698,110.09642",,"384.28969,366.27913,348.26857,128.10698,110.09642",410.986084,231.8917392,
LMST03020447_21-22_0_0_chain,482.362848,"410.30534,392.29478,374.28422,102.09133",,"410.30534,392.29478,374.28422,102.09133",424.2290955,235.1823529,
LMST03020447_2-3_0_0_chain,482.362848,"156.1019,138.09134,120.08078,356.29477,338.28421",,"156.1019,138.09134,120.08078,356.29477,338.28421",375.4796448,233.6111241,
LMST03020447_4-5_0_0_chain,482.362848,"330.27912,312.26856,182.11755,164.10699,146.09643",,"330.27912,312.26856,182.11755,164.10699,146.09643",516.5422974,236.4637277,
LMST03020448_0-1_0_0_chain,498.357762,"484.34211,466.33155,448.32099",,"484.34211,466.33155,448.32099",451.0268555,235.1635764,
LMST03020448_2-3_0_0_chain,498.357762,"156.1019,138.09134,120.08078,372.28969,354.27913,336.26857",,"156.1019,138.09134,120.08078,372.28969,354.27913,336.26857",323.3184204,231.7369635,
LMST03020448_4-5_0_0_chain,498.357762,"346.27404,328.26348,310.25292,182.11755,164.10699,146.09643",,"346.27404,328.26348,310.25292,182.11755,164.10699,146.09643",475.0031128,230.4253004,
LMST03020448_6-7_0_0_ring,498.357762,,"467.315562,449.305002,431.294442","467.315562,449.305002,431.294442",368.3735657,231.8729264,
LMST03020449_0-1_0_0_chain,484.378497,"470.36285,452.35229,434.34173",,"470.36285,452.35229,434.34173",539.77771,238.1802404,
LMST03020449_17-18_0_0_chain,484.378497,"358.27404,340.26348,322.25292,156.13828,138.12772",,"358.27404,340.26348,322.25292,156.13828,138.12772",502.2809753,233.1227916,
LMST03020449_19-20_0_0_chain,484.378497,"384.28969,366.27913,348.26857,130.12263,112.11207",,"384.28969,366.27913,348.26857,130.12263,112.11207",469.5845337,234.0745527,
LMST03020449_2-3_0_0_chain,484.378497,"156.1019,138.09134,120.08078,358.31042,340.29986",,"156.1019,138.09134,120.08078,358.31042,340.29986",455.1633911,233.2705172,
LMST03020449_4-5_0_0_chain,484.378497,"332.29477,314.28421,182.11755,164.10699,146.09643",,"332.29477,314.28421,182.11755,164.10699,146.09643",558.1992798,238.6157105,
LMST03020450_0-1_0_0_chain,484.378497,"470.36285,452.35229,434.34173",,"470.36285,452.35229,434.34173",546.8895874,239.0517639,
LMST03020450_2-3_0_0_chain,484.378497,"156.1019,138.09134,120.08078,358.31042,340.29986",,"156.1019,138.09134,120.08078,358.31042,340.29986",422.7890015,233.8040589,
LMST03020450_4-5_0_0_chain,484.378497,"332.29477,314.28421,182.11755,164.10699,146.09643",,"332.29477,314.28421,182.11755,164.10699,146.09643",563.5632324,235.3347388,
LMST03020451_0-1_0_0_chain,484.378497,"470.36285,452.35229,434.34173",,"470.36285,452.35229,434.34173",568.319519,239.0517639,
LMST03020451_2-3_0_0_chain,484.378497,"156.1019,138.09134,120.08078,358.31042,340.29986",,"156.1019,138.09134,120.08078,358.31042,340.29986",448.315979,233.8040589,
LMST03020451_4-5_0_0_chain,484.378497,"332.29477,314.28421,182.11755,164.10699,146.09643",,"332.29477,314.28421,182.11755,164.10699,146.09643",585.0579834,235.3347388,
LMST03020452_0-1_0_0_chain,500.373411,"486.35776,468.3472,450.33664",,"486.35776,468.3472,450.33664",590.9835815,235.237961,
LMST03020452_2-3_0_0_chain,500.373411,"156.1019,138.09134,120.08078,374.30534,356.29478",,"156.1019,138.09134,120.08078,374.30534,356.29478",503.3126831,230.7379848,
LMST03020452_4-5_0_0_chain,500.373411,"348.28969,330.27913,182.11755,164.10699,146.09643",,"348.28969,330.27913,182.11755,164.10699,146.09643",598.7802124,232.2134541,
LMST03020453_0-1_0_0_chain,500.373411,"486.35776,468.3472,450.33664",,"486.35776,468.3472,450.33664",532.6606445,235.237961,
LMST03020453_2-3_0_0_chain,500.373411,"156.1019,138.09134,120.08078,374.30534,356.29478",,"156.1019,138.09134,120.08078,374.30534,356.29478",427.5469055,230.7379848,
LMST03020453_4-5_0_0_chain,500.373411,"348.28969,330.27913,182.11755,164.10699,146.09643",,"348.28969,330.27913,182.11755,164.10699,146.09643",557.9303589,232.2134541,
LMST03020454_0-1_0_0_chain,500.373411,"486.35776,468.3472,450.33664",,"486.35776,468.3472,450.33664",528.6885986,239.2239229,
LMST03020454_2-3_0_0_chain,500.373411,"156.1019,138.09134,120.08078,374.30534,356.29478,338.28422",,"156.1019,138.09134,120.08078,374.30534,356.29478,338.28422",410.615509,234.4386176,
LMST03020454_4-5_0_0_chain,500.373411,"348.28969,330.27913,312.26857,182.11755,164.10699,146.09643",,"348.28969,330.27913,312.26857,182.11755,164.10699,146.09643",552.1256714,236.0094347,
LMST03020455_0-1_0_0_chain,500.373411,"486.35776,468.3472,450.33664",,"486.35776,468.3472,450.33664",532.0198975,239.2239229,
LMST03020455_2-3_0_0_chain,500.373411,"156.1019,138.09134,120.08078,374.30534,356.29478,338.28422",,"156.1019,138.09134,120.08078,374.30534,356.29478,338.28422",414.8852539,234.4386176,
LMST03020455_4-5_0_0_chain,500.373411,"348.28969,330.27913,312.26857,182.11755,164.10699,146.09643",,"348.28969,330.27913,312.26857,182.11755,164.10699,146.09643",553.4568481,236.0094347,
LMST03020456_0-1_0_0_chain,500.373411,"486.35776,468.3472,450.33664",,"486.35776,468.3472,450.33664",524.8971558,239.2239229,
LMST03020456_2-3_0_0_chain,500.373411,"156.1019,138.09134,120.08078,374.30534,356.29478,338.28422",,"156.1019,138.09134,120.08078,374.30534,356.29478,338.28422",408.2339478,234.4386176,
LMST03020456_4-5_0_0_chain,500.373411,"348.28969,330.27913,312.26857,182.11755,164.10699,146.09643",,"348.28969,330.27913,312.26857,182.11755,164.10699,146.09643",547.6904297,236.0094347,
LMST03020457_0-1_0_0_chain,524.390953,"510.3753,492.36474,474.35418",,"510.3753,492.36474,474.35418",605.3297119,240.65047,
LMST03020457_2-3_0_0_chain,524.390953,"156.1019,138.09134,120.08078,398.32288,380.31232",,"156.1019,138.09134,120.08078,398.32288,380.31232",529.7043457,236.3094324,
LMST03020457_4-5_0_0_chain,524.390953,"372.30723,354.29667,182.11755,164.10699,146.09643",,"372.30723,354.29667,182.11755,164.10699,146.09643",607.6010132,236.3036064,
LMST03020458_0-1_0_0_chain,486.394146,"472.3785,454.36794,436.35738",,"472.3785,454.36794,436.35738",479.1037903,236.4677636,
LMST03020458_17-18_0_0_chain,486.394146,"358.27404,340.26348,322.25292,158.15393,140.14337",,"358.27404,340.26348,322.25292,158.15393,140.14337",379.1192017,231.9400976,
LMST03020458_2-3_0_0_chain,486.394146,"156.1019,138.09134,120.08078,360.32607,342.31551",,"156.1019,138.09134,120.08078,360.32607,342.31551",334.4688721,233.1237078,
LMST03020458_4-5_0_0_chain,486.394146,"334.31042,316.29986,182.11755,164.10699,146.09643",,"334.31042,316.29986,182.11755,164.10699,146.09643",510.2612,236.4330418,
LMST03020459_0-1_0_0_chain,486.394146,"472.3785,454.36794,436.35738",,"472.3785,454.36794,436.35738",555.3092651,238.8784559,
LMST03020459_17-18_0_0_chain,486.394146,"358.27404,340.26348,322.25292,158.15393,140.14337",,"358.27404,340.26348,322.25292,158.15393,140.14337",474.6400757,234.1125674,
LMST03020459_2-3_0_0_chain,486.394146,"156.1019,138.09134,120.08078,360.32607,342.31551",,"156.1019,138.09134,120.08078,360.32607,342.31551",454.9408264,235.0057583,
LMST03020459_4-5_0_0_chain,486.394146,"334.31042,316.29986,182.11755,164.10699,146.09643",,"334.31042,316.29986,182.11755,164.10699,146.09643",570.1105957,234.5604399,
LMST03020460_0-1_0_0_chain,486.394146,"472.3785,454.36794,436.35738",,"472.3785,454.36794,436.35738",579.3083496,238.8784559,
LMST03020460_17-18_0_0_chain,486.394146,"358.27404,340.26348,322.25292,158.15393,140.14337",,"358.27404,340.26348,322.25292,158.15393,140.14337",464.9005432,234.1125674,
LMST03020460_2-3_0_0_chain,486.394146,"156.1019,138.09134,120.08078,360.32607,342.31551",,"156.1019,138.09134,120.08078,360.32607,342.31551",487.6140747,235.0057583,
LMST03020460_4-5_0_0_chain,486.394146,"334.31042,316.29986,182.11755,164.10699,146.09643",,"334.31042,316.29986,182.11755,164.10699,146.09643",590.9403076,234.5604399,
LMST03020461_0-1_0_0_chain,486.394146,"472.3785,454.36794,436.35738",,"472.3785,454.36794,436.35738",577.5712891,238.8784559,
LMST03020461_17-18_0_0_chain,486.394146,"358.27404,340.26348,322.25292,158.15393,140.14337",,"358.27404,340.26348,322.25292,158.15393,140.14337",464.9005432,234.1125674,
LMST03020461_2-3_0_0_chain,486.394146,"156.1019,138.09134,120.08078,360.32607,342.31551",,"156.1019,138.09134,120.08078,360.32607,342.31551",478.9818115,235.0057583,
LMST03020461_4-5_0_0_chain,486.394146,"334.31042,316.29986,182.11755,164.10699,146.09643",,"334.31042,316.29986,182.11755,164.10699,146.09643",589.1397705,234.5604399,
LMST03020462_0-1_0_0_chain,502.38906,"488.37341,470.36285,452.35229",,"488.37341,470.36285,452.35229",461.8676147,240.5627791,
LMST03020462_12-13_0_0_chain,502.38906,"488.37341,470.36285,452.35229",,"488.37341,470.36285,452.35229",473.7230835,236.5717057,
LMST03020462_2-3_0_0_chain,502.38906,"156.1019,138.09134,120.08078,376.32099,358.31043",,"156.1019,138.09134,120.08078,376.32099,358.31043",309.6610107,237.1402848,
LMST03020462_4-5_0_0_chain,502.38906,"350.30534,332.29478,182.11755,164.10699,146.09643",,"350.30534,332.29478,182.11755,164.10699,146.09643",494.4202881,238.3045011,
LMST03020463_0-1_0_0_chain,488.409795,"474.39415,456.38359,438.37303",,"474.39415,456.38359,438.37303",496.7372131,237.5443731,
LMST03020463_2-3_0_0_chain,488.409795,"156.1019,138.09134,120.08078,362.34172,344.33116",,"156.1019,138.09134,120.08078,362.34172,344.33116",341.2883911,233.0478827,
LMST03020463_4-5_0_0_chain,488.409795,"336.32607,318.31551,182.11755,164.10699,146.09643",,"336.32607,318.31551,182.11755,164.10699,146.09643",522.7282715,234.4300586,
LMST03020464_0-1_0_0_chain,488.409795,"474.39415,456.38359,438.37303",,"474.39415,456.38359,438.37303",574.8899536,239.1928704,
LMST03020464_2-3_0_0_chain,488.409795,"156.1019,138.09134,120.08078,362.34172,344.33116",,"156.1019,138.09134,120.08078,362.34172,344.33116",453.3644104,234.2517962,
LMST03020464_4-5_0_0_chain,488.409795,"336.32607,318.31551,182.11755,164.10699,146.09643",,"336.32607,318.31551,182.11755,164.10699,146.09643",588.5172729,235.6396701,
LMST03020465_0-1_0_0_chain,488.409795,"474.39415,456.38359,438.37303",,"474.39415,456.38359,438.37303",601.0423584,239.1928704,
LMST03020465_2-3_0_0_chain,488.409795,"156.1019,138.09134,120.08078,362.34172,344.33116",,"156.1019,138.09134,120.08078,362.34172,344.33116",496.3451233,234.2517962,
LMST03020465_4-5_0_0_chain,488.409795,"336.32607,318.31551,182.11755,164.10699,146.09643",,"336.32607,318.31551,182.11755,164.10699,146.09643",606.3184814,235.6396701,
LMST03020466_0-1_0_0_chain,520.381865,"506.36622,488.35566,470.3451",,"506.36622,488.35566,470.3451",579.7317505,235.026557,
LMST03020466_2-3_0_0_chain,520.381865,"156.1019,138.09134,120.08078,394.31379,376.30323",,"156.1019,138.09134,120.08078,394.31379,376.30323",470.3027954,235.0265569,
LMST03020466_4-5_0_0_chain,520.381865,"368.29814,350.28758,182.11755,164.10699,146.09643",,"368.29814,350.28758,182.11755,164.10699,146.09643",590.1885986,235.0265569,
LMST03020467_0-1_0_0_chain,520.381865,"506.36622,488.35566,470.3451",,"506.36622,488.35566,470.3451",562.7706299,235.026557,
LMST03020467_2-3_0_0_chain,520.381865,"156.1019,138.09134,120.08078,394.31379,376.30323",,"156.1019,138.09134,120.08078,394.31379,376.30323",443.8984985,235.0265569,
LMST03020467_4-5_0_0_chain,520.381865,"368.29814,350.28758,182.11755,164.10699,146.09643",,"368.29814,350.28758,182.11755,164.10699,146.09643",576.5825806,235.0265569,
LMST03020468_0-1_0_0_chain,504.404709,"490.38906,472.3785,454.36794",,"490.38906,472.3785,454.36794",592.0192261,244.6982465,
LMST03020468_2-3_0_0_chain,504.404709,"230.13867,212.12811,194.11755,304.29986",,"230.13867,212.12811,194.11755,304.29986",559.5892944,241.6935301,
LMST03020468_4-5_0_0_chain,504.404709,"278.28421,256.15432,238.14376,220.1332",,"278.28421,256.15432,238.14376,220.1332",589.1070557,243.2983846,
LMST03020469_0-1_0_0_chain,504.404709,"490.38906,472.3785,454.36794",,"490.38906,472.3785,454.36794",589.6563721,244.6982465,
LMST03020469_2-3_0_0_chain,504.404709,"230.13867,212.12811,194.11755,304.29986",,"230.13867,212.12811,194.11755,304.29986",550.078064,241.6935301,
LMST03020469_4-5_0_0_chain,504.404709,"278.28421,256.15432,238.14376,220.1332",,"278.28421,256.15432,238.14376,220.1332",592.7575684,243.2983846,
LMST03020470_0-1_0_0_chain,504.404709,"490.38906,472.3785,454.36794",,"490.38906,472.3785,454.36794",558.3305054,238.2417982,
LMST03020470_2-3_0_0_chain,504.404709,"156.1019,138.09134,120.08078,378.33664,360.32608",,"156.1019,138.09134,120.08078,378.33664,360.32608",437.2709961,234.2214101,
LMST03020470_4-5_0_0_chain,504.404709,"352.32099,334.31043,182.11755,164.10699,146.09643",,"352.32099,334.31043,182.11755,164.10699,146.09643",572.0759888,236.141149,
LMST03020471_0-1_0_0_chain,504.404709,"490.38906,472.3785,454.36794",,"490.38906,472.3785,454.36794",547.9403076,239.5148146,
LMST03020471_2-3_0_0_chain,504.404709,"156.1019,138.09134,120.08078,378.33664,360.32608",,"156.1019,138.09134,120.08078,378.33664,360.32608",416.4320374,235.5993624,
LMST03020471_4-5_0_0_chain,504.404709,"352.32099,334.31043,182.11755,164.10699,146.09643",,"352.32099,334.31043,182.11755,164.10699,146.09643",564.8251343,236.552234,
LMST03020472_0-1_0_0_chain,504.404709,"490.38906,472.3785,454.36794",,"490.38906,472.3785,454.36794",604.2174072,237.983514,
LMST03020472_2-3_0_0_chain,504.404709,"156.1019,138.09134,120.08078,378.33664,360.32608",,"156.1019,138.09134,120.08078,378.33664,360.32608",524.3963013,234.0605434,
LMST03020472_4-5_0_0_chain,504.404709,"352.32099,334.31043,182.11755,164.10699,146.09643",,"352.32099,334.31043,182.11755,164.10699,146.09643",600.8140869,236.192509,
LMST03020473_0-1_0_0_chain,504.404709,"490.38906,472.3785,454.36794",,"490.38906,472.3785,454.36794",525.9626465,242.0809758,
LMST03020473_2-3_0_0_chain,504.404709,"156.1019,138.09134,120.08078,378.33664,360.32608",,"156.1019,138.09134,120.08078,378.33664,360.32608",390.4287109,237.572252,
LMST03020473_4-5_0_0_chain,504.404709,"352.32099,334.31043,182.11755,164.10699,146.09643",,"352.32099,334.31043,182.11755,164.10699,146.09643",545.2821045,240.1028207,
LMST03020474_0-1_0_0_chain,504.404709,"490.38906,472.3785,454.36794",,"490.38906,472.3785,454.36794",545.6363525,240.2993713,
LMST03020474_2-3_0_0_chain,504.404709,"156.1019,138.09134,120.08078,378.33664,360.32608,342.31552",,"156.1019,138.09134,120.08078,378.33664,360.32608,342.31552",430.1048584,235.5934468,
LMST03020474_4-5_0_0_chain,504.404709,"352.32099,334.31043,316.29987,182.11755,164.10699,146.09643",,"352.32099,334.31043,316.29987,182.11755,164.10699,146.09643",565.4664917,237.598861,
LMST03020475_0-1_0_0_chain,490.38906,"476.37341,458.36285,440.35229",,"476.37341,458.36285,440.35229",548.1008911,236.7860841,
LMST03020475_2-3_0_0_chain,490.38906,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",,"156.1019,138.09134,120.08078,364.32099,346.31043,328.29987",424.1557617,232.4859125,
LMST03020475_4-5_0_0_chain,490.38906,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",,"338.30534,320.29478,302.28422,182.11755,164.10699,146.09643",541.3556519,234.7336556,
LMST03020476_0-1_0_0_chain,504.404709,"490.38906,472.3785,454.36794",,"490.38906,472.3785,454.36794",585.7049561,240.2993713,
LMST03020476_2-3_0_0_chain,504.404709,"156.1019,138.09134,120.08078,378.33664,360.32608,342.31552",,"156.1019,138.09134,120.08078,378.33664,360.32608,342.31552",497.2598572,235.5934468,
LMST03020476_4-5_0_0_chain,504.404709,"352.32099,334.31043,316.29987,182.11755,164.10699,146.09643",,"352.32099,334.31043,316.29987,182.11755,164.10699,146.09643",593.4423218,237.598861,
LMST03020477_0-1_0_0_chain,520.399624,"506.38397,488.37341,470.36285",,"506.38397,488.37341,470.36285",535.5133057,242.7496675,
LMST03020477_2-3_0_0_chain,520.399624,"230.13867,212.12811,194.11755,320.29477,302.28421",,"230.13867,212.12811,194.11755,320.29477,302.28421",451.5328979,240.0211376,
LMST03020477_4-5_0_0_chain,520.399624,"294.27912,276.26856,256.15432,238.14376,220.1332",,"294.27912,276.26856,256.15432,238.14376,220.1332",556.2224731,241.3264721,
LMST03020478_0-1_0_0_chain,520.399624,"506.38397,488.37341,470.36285",,"506.38397,488.37341,470.36285",540.3562622,242.7496675,
LMST03020478_2-3_0_0_chain,520.399624,"230.13867,212.12811,194.11755,320.29477,302.28421",,"230.13867,212.12811,194.11755,320.29477,302.28421",435.4713745,240.0211376,
LMST03020478_4-5_0_0_chain,520.399624,"294.27912,276.26856,256.15432,238.14376,220.1332",,"294.27912,276.26856,256.15432,238.14376,220.1332",552.6471558,241.3264721,
LMST03020479_0-1_0_0_chain,494.362848,"480.3472,462.33664,444.32608",,"480.3472,462.33664,444.32608",438.7918396,236.7686586,
LMST03020479_2-3_0_0_chain,494.362848,"156.1019,138.09134,120.08078,368.29477,350.28421",,"156.1019,138.09134,120.08078,368.29477,350.28421",301.5467529,231.8120459,
LMST03020479_4-5_0_0_chain,494.362848,"342.27912,324.26856,182.11755,164.10699,146.09643",,"342.27912,324.26856,182.11755,164.10699,146.09643",470.6131287,232.1514346,
LMST03020480_0-1_0_0_chain,496.378497,"482.36285,464.35229,446.34173",,"482.36285,464.35229,446.34173",465.036438,241.7275018,
LMST03020480_11-12_0_0_chain,496.378497,"210.18523,192.17467,316.22709,298.21653,280.20597",,"210.18523,192.17467,316.22709,298.21653,280.20597",460.2569885,236.8435883,
LMST03020480_2-3_0_0_chain,496.378497,"156.1019,138.09134,120.08078,370.31042,352.29986",,"156.1019,138.09134,120.08078,370.31042,352.29986",313.2914734,238.0811869,
LMST03020480_4-5_0_0_chain,496.378497,"344.29477,326.28421,182.11755,164.10699,146.09643",,"344.29477,326.28421,182.11755,164.10699,146.09643",485.2062683,237.0994611,
LMST03020481_0-1_0_0_chain,498.394146,"484.3785,466.36794,448.35738",,"484.3785,466.36794,448.35738",546.7581177,242.1704195,
LMST03020481_2-3_0_0_chain,498.394146,"156.1019,138.09134,120.08078,372.32607,354.31551",,"156.1019,138.09134,120.08078,372.32607,354.31551",425.5320129,236.8693285,
LMST03020481_4-5_0_0_chain,498.394146,"346.31042,328.29986,182.11755,164.10699,146.09643",,"346.31042,328.29986,182.11755,164.10699,146.09643",562.2288208,237.8269503,
LMST03020482_0-1_0_0_chain,498.394146,"484.3785,466.36794,448.35738",,"484.3785,466.36794,448.35738",548.3651733,241.7025429,
LMST03020482_17-18_0_0_chain,498.394146,"358.27404,340.26348,322.25292,170.15393,152.14337",,"358.27404,340.26348,322.25292,170.15393,152.14337",513.1774292,236.5024456,
