LMID,MZ,diagIonsInChian,diagIonsInRing,MS2,RT,CCS,Standard
LMST01031222_11-12_0_0_ring,458.399232,,"427.357032,409.346472,391.335912","427.357032,409.346472,391.335912",555.0587967719441,224.632008,
LMST01031222_17-18_0_0_ring,458.399232,,"427.357032,409.346472,391.335912","427.357032,409.346472,391.335912",527.9785311536554,221.5683718,
LMST01031223_0-1_0_0_chain,458.399232,"444.38358,426.37302,408.36246",,"444.38358,426.37302,408.36246",565.3975844987228,228.1760131,
LMST01031223_17-18_0_0_ring,458.399232,,"427.357032,409.346472,391.335912","427.357032,409.346472,391.335912",543.1027944670648,225.4886015,
LMST01031224_1-10_0_0_chain,458.399232,"318.24274,300.23218,282.22162,170.19032",,"318.24274,300.23218,282.22162,170.19032",565.1393178806171,230.4134359,
LMST01031224_17-18_0_0_ring,458.399232,,"427.357032,409.346472,391.335912","427.357032,409.346472,391.335912",530.3054749930991,225.4092562,
LMST01031225_27-28_0_0_ring,474.357762,,"443.315562,425.305002,407.294442","443.315562,425.305002,407.294442",571.7291780404073,227.0598589,
LMST01031225_5-6_0_0_chain,474.357762,"114.12772,390.26387,372.25331,354.24275",,"114.12772,390.26387,372.25331,354.24275",538.0531571970329,226.764546,
LMST01031226_17-18_0_0_chain,488.409795,"404.3159,386.30534,368.29478,114.12772",,"404.3159,386.30534,368.29478,114.12772",471.6273935824835,230.6547937,
LMST01031226_4-5_0_0_ring,488.409795,,"457.367595,439.357035,421.346475","457.367595,439.357035,421.346475",550.1174701889548,230.285212,
LMST01031227_14-15_0_0_ring,474.357762,,"443.315562,425.305002,407.294442","443.315562,425.305002,407.294442",586.9019782453879,223.8748917,
LMST01031227_27-28_0_0_ring,474.357762,,"443.315562,425.305002,407.294442","443.315562,425.305002,407.294442",590.4394937493558,223.3647831,
LMST01031227_5-6_0_0_chain,474.357762,"114.12772,390.26387,372.25331,354.24275",,"114.12772,390.26387,372.25331,354.24275",423.30592875818786,221.6526905,
LMST01031228_11-12_0_0_ring,476.373411,,"445.331211,427.320651,409.310091","445.331211,427.320651,409.310091",608.9602502387652,225.0568935,
LMST01031228_5-6_0_0_chain,476.373411,"114.12772,392.27952,374.26896,356.2584",,"114.12772,392.27952,374.26896,356.2584",455.5666796083276,225.4951918,
LMST01031229_22-23_0_0_ring,636.410578,,"605.368378,587.357818,569.347258","605.368378,587.357818,569.347258",554.7874940998272,252.2253214,
LMST01031229_2-3_0_0_chain,636.410578,"536.32177,518.31121,500.30065,130.12263,112.11207",,"536.32177,518.31121,500.30065,130.12263,112.11207",445.53971129237914,253.0850544,
LMST01031230_13-14_0_0_ring,622.431313,,"591.3891130000001,573.378553,555.3679930000001","591.3891130000001,573.378553,555.3679930000001",601.1930446112177,258.2770242,
LMST01031230_5-6_0_0_chain,622.431313,"114.12772,538.33742,520.32686,502.3163",,"114.12772,538.33742,520.32686,502.3163",513.3573229283851,259.4883796,
LMST01031231_13-14_0_0_ring,460.378497,,"429.336297,411.325737,393.315177","429.336297,411.325737,393.315177",587.7958035193856,224.39008,
LMST01031231_5-6_0_0_chain,460.378497,"114.12772,376.2846,358.27404,340.26348",,"114.12772,376.2846,358.27404,340.26348",415.1713905064755,219.2578493,
LMST01031232_16-17_0_0_chain,474.394146,"390.30025,372.28969,354.27913,114.12772",,"390.30025,372.28969,354.27913,114.12772",460.77369220849454,227.5685337,
LMST01031232_3-4_0_0_ring,474.394146,,"443.351946,425.341386,407.330826","443.351946,425.341386,407.330826",554.0095454805684,228.1427921,
LMST01031233_13-14_0_0_ring,474.357762,,"443.315562,425.305002,407.294442","443.315562,425.305002,407.294442",557.51412426559,223.6617023,
